v /net5; ac dB20(V) X,v /net5; ac dB20(V) Y,v /net5; ac deg(V) X,v /net5; ac deg(V) Y
1,-164.0364026328377,1,89.99999964
1.99526231496888,-158.0364026328377,1.99526231496888,89.99999928170557
3.981071705534974,-152.0364026328377,3.981071705534974,89.99999856681418
7.943282347242819,-146.0364026328377,7.943282347242819,89.99999714041836
15.84893192461115,-140.0364026328377,15.84893192461115,89.99999429438451
31.62277660168382,-134.0364026328379,31.62277660168382,89.99998861580043
63.0957344480194,-128.0364026328384,63.0957344480194,89.99997728553561
125.8925411794169,-122.0364026328404,125.8925411794169,89.99995467868519
251.1886431509584,-116.0364026328485,251.1886431509584,89.99990957208846
501.1872336272731,-110.0364026328808,501.1872336272731,89.9998195725959
1000.000000000002,-104.0364026330091,1000.000000000002,89.99964000000001
1995.262314968884,-98.03640263352024,1995.262314968884,89.99928170556666
3981.071705534982,-92.03640263555502,3981.071705534982,89.99856681418629
7943.282347242835,-86.03640264365561,7943.282347242835,89.99714041835736
15848.93192461118,-80.03640267590463,15848.93192461118,89.994294384526
31622.77660168389,-74.03640280429026,31622.77660168389,89.9886158005732
63095.73444801952,-68.03640331540267,63095.73444801952,89.9772855367887
125892.5411794171,-62.03640535017723,125892.5411794171,89.9546786946278
251188.6431509589,-56.03641345075124,251188.6431509589,89.90957216354843
501187.2336272741,-50.03644569956737,501187.2336272741,89.81957319229522
1000000.000000004,-44.03657408204261,1000000.000000004,89.64000473729791
1995262.314968888,-38.03708514425684,1995262.314968888,89.28174319364915
3981071.705534989,-32.03911912349922,3981071.705534989,88.5671129842127
7943282.34724285,-26.04720710891429,7943282.34724285,87.14278914220441
15848931.92461121,-20.07925744004528,15848931.92461121,84.31313304998959
31622776.60168394,-14.20455739911678,31622776.60168394,78.7621590153758
63095734.44801964,-8.67036082316887,63095734.44801964,68.37453633760835
125892541.1794174,-4.146781987643371,125892541.1794174,51.65578582840478
251188643.1509593,-1.465801290064251,251188643.1509593,32.35864303613213
501187233.627275,-0.4172488192729948,501187233.627275,17.61755071599648
1000000000.000006,-0.1086378986432171,1000000000.000006,9.043061079037638
1995262314.968891,-0.02754524151321617,1995262314.968891,4.560623293970368
3981071705.534997,-0.006935499638868376,3981071705.534997,2.289346640184333
7943282347.242865,-0.001743160650097408,7943282347.242865,1.147848727601009
15848931924.61124,-0.0004379279639414029,15848931924.61124,0.5753447656689801
31622776601.684,-0.0001100066841453475,31622776601.684,0.2883627092261104
63095734448.01975,-2.763269178591794e-05,63095734448.01975,0.1445246222652422
125892541179.4176,-6.941034890567539e-06,125892541179.4176,0.07243401065970578
251188643150.9598,-1.743510177665059e-06,251188643150.9598,0.03630301590523738
501187233627.2759,-4.379500213988769e-07,501187233627.2759,0.01819460993707174
1000000000000.007,-1.100080759413141e-07,1000000000000.007,0.00911890645081547
1995262314968.895,-2.763277948985243e-08,1995262314968.895,0.004570279526685855
3981071705535.003,-6.941040098840468e-09,3981071705535.003,0.002290565756520804
7943282347242.878,-1.743510809995596e-09,7943282347242.878,0.001148002315409989
15848931924611.26,-4.379502832736828e-10,15848931924611.26,0.0005753641047156902
31622776601684.05,-1.100085487301625e-10,31622776601684.05,0.0002883651439781472
63095734448019.86,-2.763183922666184e-11,63095734448019.86,0.0001445249287858514
125892541179417.8,-6.941229104253335e-12,125892541179417.8,7.24340492484744e-05
251188643150960.2,-1.743504059528518e-12,251188643150960.2,3.630302076327897e-05
501187233627276.8,-4.368403423486501e-13,501187233627276.8,1.819461054866303e-05
1000000000000000,-1.108976586536287e-13,1000000000000000,9.118906527810326e-06
