net1 X,net1 Y,net5 X,net5 Y
0,0,0,0.05768708914464038
2e-11,0,2e-11,0.05768708946625456
6e-11,0,6e-11,0.05768709010634068
7.523113082742665e-11,0,7.523113082742665e-11,0.05768709034966191
1.056933924822799e-10,0,1.056933924822799e-10,0.05768709083479288
1.666179157919865e-10,0,1.666179157919865e-10,0.05768709179731055
2.884669624113998e-10,0,2.884669624113998e-10,0.05768709368301901
4.884669624113998e-10,0,4.884669624113998e-10,0.05768709663532472
6.884669624113998e-10,0,6.884669624113998e-10,0.0576870993816706
8.442334812057e-10,0,8.442334812057e-10,0.05768710136536918
1e-09,0,1e-09,0.05768710320663768
1.2e-09,0,1.2e-09,0.05768710524666263
1.4e-09,0,1.4e-09,0.05768710713694214
1.6e-09,0,1.6e-09,0.05768710883573688
1.8e-09,0,1.8e-09,0.05768711033889405
2e-09,0,2e-09,0.05768711165559041
2.2e-09,0,2.2e-09,0.05768711279968718
2.4e-09,0,2.4e-09,0.05768711378644624
2.6e-09,0,2.6e-09,0.05768711463116385
2.8e-09,0,2.8e-09,0.05768711534854226
3e-09,0,3e-09,0.05768711595238289
3.200000000000001e-09,0,3.200000000000001e-09,0.05768711645544245
3.400000000000001e-09,0,3.400000000000001e-09,0.05768711686937929
3.600000000000001e-09,0,3.600000000000001e-09,0.05768711720475711
3.800000000000001e-09,0,3.800000000000001e-09,0.05768711747108243
4.000000000000001e-09,0,4.000000000000001e-09,0.05768711767686389
4.200000000000001e-09,0,4.200000000000001e-09,0.05768711782968249
4.400000000000001e-09,0,4.400000000000001e-09,0.05768711793626807
4.600000000000001e-09,0,4.600000000000001e-09,0.05768711800257574
4.800000000000002e-09,0,4.800000000000002e-09,0.05768711803386183
5.000000000000002e-09,1.654361225106055e-12,5.000000000000002e-09,0.05768711803483741
5.000001821779003e-09,0.001821779002703458,5.000001821779003e-09,0.05773450048914978
5.000003145263098e-09,0.003145263098286786,5.000003145263098e-09,0.05776886078330691
5.00000579223129e-09,0.00579223128945344,5.00000579223129e-09,0.05783738544778257
5.000008803782446e-09,0.008803782445801944,5.000008803782446e-09,0.05791508336046313
5.000014826884759e-09,0.01482688475849895,5.000014826884759e-09,0.05807001822580948
5.000020305096548e-09,0.0203050965474664,5.000020305096548e-09,0.05821079359199687
5.000025539414451e-09,0.02553941445045995,5.000025539414451e-09,0.05834551897789843
5.000031017400919e-09,0.03101740091873726,5.000031017400919e-09,0.05848706430375917
5.00003668492009e-09,0.03668492008975149,5.00003668492009e-09,0.05863437752879327
5.000042680855175e-09,0.04268085517475998,5.000042680855175e-09,0.05879144705180133
5.000049083905153e-09,0.04908390515301882,5.000049083905153e-09,0.05896080279330611
5.000055931545012e-09,0.05593154501204581,5.000055931545012e-09,0.05914398721993099
5.000063276007618e-09,0.06327600761838698,5.000063276007618e-09,0.05934303480389669
5.000071175890272e-09,0.0711758902721005,5.000071175890272e-09,0.05956027719103116
5.000079705680357e-09,0.07970568035739053,5.000079705680357e-09,0.05979863767413188
5.00008896309134e-09,0.08896309134028073,5.00008896309134e-09,0.06006189343218347
5.000099075482464e-09,0.09907548246358143,5.000099075482464e-09,0.06035494222226246
5.000110213187746e-09,0.110213187745856,5.000110213187746e-09,0.06068430877244281
5.000122612499929e-09,0.1226124999292771,5.000122612499929e-09,0.06105901059240538
5.000136617646802e-09,0.1366176468020581,5.000136617646802e-09,0.06149213420992666
5.000152763519976e-09,0.1527635199758333,5.000152763519976e-09,0.06200394515211725
5.0001718123045e-09,0.1718123044995527,5.0001718123045e-09,0.06262396080342249
5.000191708234154e-09,0.1917082341535883,5.000191708234154e-09,0.06328893739886733
5.000210863167694e-09,0.2108631676939951,5.000210863167694e-09,0.06394459336761339
5.000230078956564e-09,0.2300789565638243,5.000230078956564e-09,0.0646161809229224
5.000249927312914e-09,0.2499273129142983,5.000249927312914e-09,0.06532300645537184
5.000270959466913e-09,0.2709594669128829,5.000270959466913e-09,0.06608496542947778
5.000293800327706e-09,0.2938003277059812,5.000293800327706e-09,0.06692566014440823
5.000319057427252e-09,0.3190574272521993,5.000319057427252e-09,0.06786873209471085
5.000347351485873e-09,0.3473514858726892,5.000347351485873e-09,0.06893808170966323
5.000379861674713e-09,0.3798616747133315,5.000379861674713e-09,0.07017655890730691
5.000409543421787e-09,0.4095434217873071,5.000409543421787e-09,0.07130737413569831
5.000433054426376e-09,0.4330544263757114,5.000433054426376e-09,0.07219478057313042
5.000452126877943e-09,0.452126877942963,5.000452126877943e-09,0.0729023601936247
5.000468622723461e-09,0.4686227234608932,5.000468622723461e-09,0.07349988314388825
5.000483991773592e-09,0.4839917735916305,5.000483991773592e-09,0.07403993592609467
5.000500180278972e-09,0.5001802789717527,5.000500180278972e-09,0.07458770563264813
5.000513129003971e-09,0.5131290039704379,5.000513129003971e-09,0.07500957470356949
5.000527462721447e-09,0.5274627214466052,5.000527462721447e-09,0.07546092300006908
5.000539282112168e-09,0.5392821121678282,5.000539282112168e-09,0.07582264347610213
5.000550103584606e-09,0.5501035846062035,5.000550103584606e-09,0.07614709905159026
5.000561890852022e-09,0.5618908520222824,5.000561890852022e-09,0.07649461681013121
5.000576116507428e-09,0.5761165074280724,5.000576116507428e-09,0.07690755731058828
5.000594960555475e-09,0.5949605554750088,5.000594960555475e-09,0.07744632351942976
5.000620362604503e-09,0.6203626045029542,5.000620362604503e-09,0.07816206387277863
