v /net5; ac dB20(V) X,v /net5; ac dB20(V) Y,v /net5; ac deg(V) X,v /net5; ac deg(V) Y
1,75.07942515159388,1,-0.003068666131194366
1.513561248436208,75.07942513557779,1.513561248436208,-0.004644614134866474
2.290867652767773,75.07942509888707,2.290867652767773,-0.007029907948715963
3.467368504525317,75.07942501324139,3.467368504525317,-0.01064019618079902
5.248074602497726,75.07942481909365,5.248074602497726,-0.01610458837453908
7.943282347242816,75.07942437797414,7.943282347242816,-0.02437528006211001
12.02264434617413,75.07942336333397,12.02264434617413,-0.03689347644868166
18.19700858609984,75.07942103875467,18.19700858609984,-0.05584052630958422
27.54228703338167,75.07941571464229,27.54228703338167,-0.08451802217982236
41.68693834703355,75.07940352043856,41.68693834703355,-0.1279230834601332
63.09573444801934,75.07937557918834,63.09573444801934,-0.1936190067091072
95.49925860214361,75.07931157289677,95.49925860214361,-0.2930527859863759
144.5439770745928,75.07916494628434,144.5439770745928,-0.4435483493706718
218.7761623949553,75.07882906321984,218.7761623949553,-0.6713202881186108
331.1311214825912,75.07805969799949,331.1311214825912,-1.016024378767298
501.1872336272725,75.07629770037803,501.1872336272725,-1.537607176933883
758.577575029184,75.07226388163774,758.577575029184,-2.326542173252462
1148.153621496883,75.06303704246224,1148.153621496883,-3.518870534550651
1737.800828749376,75.04197317566715,1737.800828749376,-5.317416173061853
2630.267991895383,74.99410030313445,2630.267991895383,-8.018664607494111
3981.071705534974,74.88637918303891,3981.071705534974,-12.03639383263794
6025.59586074358,74.64923377727762,6025.59586074358,-17.8861513868929
9120.108393559101,74.15031844858775,9120.108393559101,-26.03411040022018
13803.84264602886,73.18601658559784,13803.84264602886,-36.47745683601055
20892.96130854041,71.55396265789228,20892.96130854041,-48.21774393081059
31622.77660168381,69.20466897038611,31622.77660168381,-59.44827362326597
47863.00923226386,66.28847361509148,47863.00923226386,-68.70251191297464
72443.59600749904,63.024411581711,72443.59600749904,-75.56890292192449
109647.8196143186,59.57961436988799,109647.8196143186,-80.36985558521269
165958.6907437562,56.04914003414117,165958.6907437562,-83.63273795324672
251188.6431509582,52.47983812995686,251188.6431509582,-85.82793178219703
380189.3963205615,48.89329874422023,380189.3963205615,-87.30837978264358
575439.9373371573,45.2991694552611,575439.9373371573,-88.32335852045426
870963.5899560812,41.70169303325164,870963.5899560812,-89.04719983958023
1318256.738556408,38.1027001621902,1318256.738556408,-89.60529375521085
1995262.314968881,34.50292397551075,1995262.314968881,-90.09464657417951
3019951.720402019,30.9025332493235,3019951.720402019,-90.60037570785086
4570881.896148754,27.30126251019637,4570881.896148754,-91.21034610753357
6918309.709189371,23.69822844438193,6918309.709189371,-92.03020136870902
10471285.48050901,20.0913026268983,10471285.48050901,-93.20081438686479
15848931.92461115,16.47568437160065,15848931.92461115,-94.91943902828571
23988329.19019493,12.84109485412993,23988329.19019493,-97.46338576728292
36307805.47701018,9.167490050890176,36307805.47701018,-101.2088616552025
54954087.38576252,5.422949820397923,54954087.38576252,-106.6408241564436
83176377.11026721,1.571603455166014,83176377.11026721,-114.4605726539806
125892541.1794169,-2.469031214311481,125892541.1794169,-126.1788617440658
190546071.796325,-7.193872185895431,190546071.796325,-143.7576532089614
288403150.312661,-13.35936588058076,288403150.312661,-163.2049075438973
436515832.2401666,-20.38618545496338,436515832.2401666,-178.4229435844753
660693448.007597,-27.41459020062877,660693448.007597,-190.9477787499139
1000000000,-34.11669228043914,1000000000,-203.6036255540487
