id_w (L_var=1.05e-06) X,id_w (L_var=1.05e-06) Y,id_w (L_var=2.05e-06) X,id_w (L_var=2.05e-06) Y,id_w (L_var=3.05e-06) X,id_w (L_var=3.05e-06) Y,id_w (L_var=4.05e-06) X,id_w (L_var=4.05e-06) Y,id_w (L_var=5.05e-06) X,id_w (L_var=5.05e-06) Y,id_w (L_var=6.05e-06) X,id_w (L_var=6.05e-06) Y,id_w (L_var=7.05e-06) X,id_w (L_var=7.05e-06) Y,id_w (L_var=8.05e-06) X,id_w (L_var=8.05e-06) Y,id_w (L_var=9.05e-06) X,id_w (L_var=9.05e-06) Y,id_w (L_var=1.005e-05) X,id_w (L_var=1.005e-05) Y,id_w (L_var=1.105e-05) X,id_w (L_var=1.105e-05) Y,id_w (L_var=1.205e-05) X,id_w (L_var=1.205e-05) Y,id_w (L_var=1.305e-05) X,id_w (L_var=1.305e-05) Y,id_w (L_var=1.405e-05) X,id_w (L_var=1.405e-05) Y
0.45,1.14578328089785e-05,0.45,5.067630513313507e-06,0.45,3.434451389575298e-06,0.45,2.661677470675954e-06,0.45,2.202015080237238e-06,0.45,1.890542918586507e-06,0.45,1.661962617360306e-06,0.45,1.485262043782771e-06,0.45,1.343677276675533e-06,0.45,1.227241717590563e-06,0.45,1.129585326356193e-06,0.45,1.046401593264281e-06,0.45,9.746481822098344e-07,0.45,9.12100029153712e-07
0.5105263,6.944836011607727e-05,0.5105263,3.109799412757393e-05,0.5105263,2.107763978383297e-05,0.5105263,1.632731943074025e-05,0.5105263,1.350050054970226e-05,0.5105263,1.158522254242565e-05,0.5105263,1.018017968443105e-05,0.5105263,9.094554357293303e-06,0.5105263,8.22511349370661e-06,0.5105263,7.510452904567868e-06,0.5105263,6.911320026526898e-06,0.5105263,6.401179994348574e-06,0.5105263,5.961292137075232e-06,0.5105263,5.577955354535753e-06
0.5710526,0.0004011652367576527,0.5710526,0.0001821797265816166,0.5710526,0.0001234704263410934,0.5710526,9.554737368104821e-05,0.5710526,7.891637435021698e-05,0.5710526,6.765103423870576e-05,0.5710526,5.939343697429284e-05,0.5710526,5.30196157066348e-05,0.5710526,4.792046672418574e-05,0.5710526,4.373333913146773e-05,0.5710526,4.022633481098137e-05,0.5710526,3.724272152958793e-05,0.5710526,3.467186842240019e-05,0.5710526,3.243295978048823e-05
0.6315789000000001,0.002117363936651882,0.6315789000000001,0.0009766119413798838,0.6315789000000001,0.0006617172123766458,0.6315789000000001,0.0005111922795575736,0.6315789000000001,0.0004214131433000576,0.6315789000000001,0.0003606290653322253,0.6315789000000001,0.0003161361634317835,0.6315789000000001,0.0002818533167605951,0.6315789000000001,0.0002544759287278353,0.6315789000000001,0.0002320335824149465,0.6315789000000001,0.0002132657863726662,0.6315789000000001,0.0001973209979201695,0.6315789000000001,0.0001835987738298333,0.6315789000000001,0.000171661104606291
0.6921053,0.00984633003220153,0.6921053,0.00460840207608254,0.6921053,0.003121467976454011,0.6921053,0.002406491230522073,0.6921053,0.001979351534351415,0.6921053,0.001690348004513604,0.6921053,0.001479165286319645,0.6921053,0.001316786369777296,0.6921053,0.001187393147708162,0.6921053,0.001081538956261112,0.6921053,0.0009931788464883425,0.6921053,0.0009182317578407898,0.6921053,0.0008538238207422081,0.6921053,0.0007978621758691899
0.7526316,0.03970433825490313,0.7526316,0.01884436510678958,0.7526316,0.01276097626167472,0.7526316,0.009816055248923925,0.7526316,0.008053202848682495,0.7526316,0.006861200652737954,0.7526316,0.005991791639949452,0.7526316,0.005324854277150932,0.7526316,0.004794671085269986,0.7526316,0.004361923971484394,0.7526316,0.004001443188618855,0.7526316,0.003696247625658427,0.7526316,0.003434396086757634,0.7526316,0.003207208592943892
0.8131579,0.1317326835483956,0.8131579,0.06364751056135727,0.8131579,0.04309030934509209,0.8131579,0.0330410027565757,0.8131579,0.02700808203966126,0.8131579,0.02293248807173626,0.8131579,0.01996782179134146,0.8131579,0.01770114165403615,0.8131579,0.0159054004788526,0.8131579,0.0144444318871729,0.8131579,0.01323103297518432,0.8131579,0.012206434023566,0.8131579,0.01132939296455067,0.8131579,0.01057001027145269
0.8736842,0.3397799185353098,0.8736842,0.1673515232448815,0.8736842,0.1132923322656496,0.8736842,0.08657496318883341,0.8736842,0.07048661955982703,0.8736842,0.05963028279628441,0.8736842,0.05175674986161027,0.8736842,0.04575879354270088,0.8736842,0.0410245537364493,0.8736842,0.03718629378729605,0.8736842,0.03400849952000701,0.8736842,0.0313326745963221,0.8736842,0.02904785745163333,0.8736842,0.02707383744175243
0.9342105000000001,0.6948785835011568,0.9342105000000001,0.347785652606846,0.9342105000000001,0.2355124680421458,0.9342105000000001,0.1795119507772946,0.9342105000000001,0.145704128991057,0.9342105000000001,0.1229102184075618,0.9342105000000001,0.1064173386673457,0.9342105000000001,0.09388869674774468,0.9342105000000001,0.08402799440822845,0.9342105000000001,0.07605496351435732,0.9342105000000001,0.06946994349641904,0.9342105000000001,0.06393707840460117,0.9342105000000001,0.05922168389869581,0.9342105000000001,0.05515449795394775
0.9947368,1.197809077586525,0.9947368,0.6068266107356346,0.9947368,0.4111865109716384,0.9947368,0.3129262911551319,0.9947368,0.253485704996479,0.9947368,0.2134264058078808,0.9947368,0.184483407235879,0.9947368,0.1625374488241511,0.9947368,0.1452972149237872,0.9947368,0.1313820363008189,0.9947368,0.1199078064509604,0.9947368,0.1102807166109881,0.9947368,0.1020863441624191,0.9947368,0.0950262350996213
