gm_id (L_var=1.05e-06) X,gm_id (L_var=1.05e-06) Y,gm_id (L_var=2.05e-06) X,gm_id (L_var=2.05e-06) Y,gm_id (L_var=3.05e-06) X,gm_id (L_var=3.05e-06) Y,gm_id (L_var=4.05e-06) X,gm_id (L_var=4.05e-06) Y,gm_id (L_var=5.05e-06) X,gm_id (L_var=5.05e-06) Y,gm_id (L_var=6.05e-06) X,gm_id (L_var=6.05e-06) Y,gm_id (L_var=7.05e-06) X,gm_id (L_var=7.05e-06) Y,gm_id (L_var=8.05e-06) X,gm_id (L_var=8.05e-06) Y,gm_id (L_var=9.05e-06) X,gm_id (L_var=9.05e-06) Y,gm_id (L_var=1.005e-05) X,gm_id (L_var=1.005e-05) Y,gm_id (L_var=1.105e-05) X,gm_id (L_var=1.105e-05) Y,gm_id (L_var=1.205e-05) X,gm_id (L_var=1.205e-05) Y,gm_id (L_var=1.305e-05) X,gm_id (L_var=1.305e-05) Y,gm_id (L_var=1.405e-05) X,gm_id (L_var=1.405e-05) Y
0.45,25.01157113734276,0.45,24.72503094415823,0.45,24.61694006111947,0.45,24.54865504912318,0.45,24.49955159966043,0.45,24.46249852609344,0.45,24.4337163947425,0.45,24.41086760694355,0.45,24.39239584079682,0.45,24.37721900861279,0.45,24.36456417641051,0.45,24.35386910315811,0.45,24.34471895141849,0.45,24.33680368132698
0.5105263,21.97138603102233,0.5105263,21.52186868490343,0.5105263,21.34185188712333,0.5105263,21.22641458890373,0.5105263,21.14323503593525,0.5105263,21.08060185600701,0.5105263,21.03212541790045,0.5105263,20.99380032055507,0.5105263,20.96294669678421,0.5105263,20.93770011691549,0.5105263,20.9167306859877,0.5105263,20.89907322208946,0.5105263,20.88401745713885,0.5105263,20.87103402410324
0.5710526,17.51153928096154,0.5710526,16.94480116112129,0.5710526,16.7225760626513,0.5710526,16.58245026746172,0.5710526,16.48318736596846,0.5710526,16.4095451638665,0.5710526,16.3532693273947,0.5710526,16.30926656482192,0.5710526,16.27418491383722,0.5710526,16.24572724454729,0.5710526,16.22227613112934,0.5710526,16.20267040715602,0.5710526,16.18606332242952,0.5710526,16.17182865341914
0.6315789000000001,13.04010798372412,0.6315789000000001,12.59206063396081,0.6315789000000001,12.41929941783451,0.6315789000000001,12.31067105106401,0.6315789000000001,12.23404629277404,0.6315789000000001,12.17748272925138,0.6315789000000001,12.13448455215335,0.6315789000000001,12.10104240592693,0.6315789000000001,12.07452220816144,0.6315789000000001,12.0531233492642,0.6315789000000001,12.03558147144872,0.6315789000000001,12.02099132257463,0.6315789000000001,12.00869447967167,0.6315789000000001,11.99820522136305
0.6921053,9.722261723481619,0.6921053,9.442382486405558,0.6921053,9.334613403720015,0.6921053,9.266009200328565,0.6921053,9.217293861381892,0.6921053,9.181242961860596,0.6921053,9.153836537600114,0.6921053,9.132552703742608,0.6921053,9.115716941430959,0.6921053,9.102176559197224,0.6921053,9.091118439075995,0.6921053,9.081958696547744,0.6921053,9.074271901656932,0.6921053,9.067743929411796
0.7526316,7.518743879184406,0.7526316,7.360870700945522,0.7526316,7.299578660359657,0.7526316,7.259433228667995,0.7526316,7.230444372940863,0.7526316,7.208808139826903,0.7526316,7.19229762345135,0.7526316,7.179464757745473,0.7526316,7.169325190475363,0.7526316,7.161190571288167,0.7526316,7.154570118421534,0.7526316,7.14910885508326,0.7526316,7.144546890594963,0.7526316,7.14069173465314
0.8131579,6.060473362133805,0.8131579,5.97775267816801,0.8131579,5.945138624351831,0.8131579,5.922569459196782,0.8131579,5.905756197652438,0.8131579,5.893004730438518,0.8131579,5.883197668100807,0.8131579,5.875552544592134,0.8131579,5.869513208085242,0.8131579,5.864679552500702,0.8131579,5.860760949979072,0.8131579,5.857544586860005,0.8131579,5.854873385922144,0.8131579,5.852630396365412
0.8736842,5.057104358290355,0.8736842,5.019660066291342,0.8736842,5.004475237037644,0.8736842,4.992626369451239,0.8736842,4.983249269477328,0.8736842,4.975925161577317,0.8736842,4.970210773584065,0.8736842,4.965729489631488,0.8736842,4.962186925855065,0.8736842,4.959359527107488,0.8736842,4.957079445129271,0.8736842,4.955221176932993,0.8736842,4.953690848907197,0.8736842,4.952417981378382
0.9342105000000001,4.332717775479603,0.9342105000000001,4.323334718301162,0.9342105000000001,4.319088110706183,0.9342105000000001,4.314001250597263,0.9342105000000001,4.309325539610596,0.9342105000000001,4.305436139855379,0.9342105000000001,4.302312159404796,0.9342105000000001,4.299832429403412,0.9342105000000001,4.29786786913322,0.9342105000000001,4.296306693290234,0.9342105000000001,4.295058936721383,0.9342105000000001,4.294054570008945,0.9342105000000001,4.293239930203498,0.9342105000000001,4.292574135714549
0.9947368,3.786348094683743,0.9947368,3.795119875964216,0.9947368,3.798057124799482,0.9947368,3.797439296142265,0.9947368,3.795880224392235,0.9947368,3.794271250008088,0.9947368,3.79286823328507,0.9947368,3.79171826370143,0.9947368,3.790801549948593,0.9947368,3.790080410441863,0.9947368,3.789516631027465,0.9947368,3.789077109633348,0.9947368,3.788734991454902,0.9947368,3.788469153626465
1.055263,3.359197010564802,1.055263,3.380218718427345,1.055263,3.3880875918625,1.055263,3.390560844529851,1.055263,3.391165485055496,1.055263,3.391142893674532,1.055263,3.390938366703061,1.055263,3.390714866704365,1.055263,3.390528178255362,1.055263,3.390392019637215,1.055263,3.390304156777092,1.055263,3.390257210758667,1.055263,3.390243031458138,1.055263,3.390254301805393
