fT*gm_id (L_var=1.05e-06) X,fT*gm_id (L_var=1.05e-06) Y,fT*gm_id (L_var=2.05e-06) X,fT*gm_id (L_var=2.05e-06) Y,fT*gm_id (L_var=3.05e-06) X,fT*gm_id (L_var=3.05e-06) Y,fT*gm_id (L_var=4.05e-06) X,fT*gm_id (L_var=4.05e-06) Y,fT*gm_id (L_var=5.05e-06) X,fT*gm_id (L_var=5.05e-06) Y,fT*gm_id (L_var=6.05e-06) X,fT*gm_id (L_var=6.05e-06) Y,fT*gm_id (L_var=7.05e-06) X,fT*gm_id (L_var=7.05e-06) Y,fT*gm_id (L_var=8.05e-06) X,fT*gm_id (L_var=8.05e-06) Y,fT*gm_id (L_var=9.05e-06) X,fT*gm_id (L_var=9.05e-06) Y,fT*gm_id (L_var=1.005e-05) X,fT*gm_id (L_var=1.005e-05) Y,fT*gm_id (L_var=1.105e-05) X,fT*gm_id (L_var=1.105e-05) Y,fT*gm_id (L_var=1.205e-05) X,fT*gm_id (L_var=1.205e-05) Y,fT*gm_id (L_var=1.305e-05) X,fT*gm_id (L_var=1.305e-05) Y,fT*gm_id (L_var=1.405e-05) X,fT*gm_id (L_var=1.405e-05) Y
0.45,9064360.784314701,0.45,4071550.24513072,0.45,2760388.271574551,0.45,2137664.121793031,0.45,1766582.201570428,0.45,1514872.978757064,0.45,1330048.769031626,0.45,1187136.944304612,0.45,1072617.89702641,0.45,978443.7896464319,0.45,899465.8586350257,0.45,832200.734448727,0.45,774186.4066847358,0.45,723621.7345719106
0.5105263,52751449.85140786,0.5105263,23964503.88650706,0.5105263,16190389.66392502,0.5105263,12478926.6170775,0.5105263,10260605.81632109,0.5105263,8753568.79015038,0.5105263,7646458.227632832,0.5105263,6790612.895777421,0.5105263,6105282.644203389,0.5105263,5542257.230307916,0.5105263,5070619.413022173,0.5105263,4669416.263332854,0.5105263,4323822.760223624,0.5105263,4022987.98920246
0.5710526,275127507.718412,0.5710526,124887405.6617127,0.5710526,82601321.85606042,0.5710526,62144435.98385722,0.5710526,49827949.14820168,0.5710526,41450958.26007784,0.5710526,35320625.6318876,0.5710526,30616850.15765317,0.5710526,26887405.28380167,0.5710526,23858545.4533232,0.5710526,21352745.20726385,0.5710526,19248745.62109743,0.5710526,17460361.82600986,0.5710526,15924407.48152378
0.6315789000000001,1100400352.691523,0.6315789000000001,464071133.3069344,0.6315789000000001,278960815.1218407,0.6315789000000001,191234107.9654632,0.6315789000000001,140615183.0415041,0.6315789000000001,108110260.5988572,0.6315789000000001,85804222.96395375,0.6315789000000001,69776439.91909422,0.6315789000000001,57855965.71773399,0.6315789000000001,48745495.04410371,0.6315789000000001,41625566.14264444,0.6315789000000001,35956035.12066087,0.6315789000000001,31368518.72059179,0.6315789000000001,27604586.42483953
0.6921053,2428148640.397008,0.6921053,821797065.2506576,0.6921053,414500439.0468813,0.6921053,249155545.4787283,0.6921053,165818595.6829027,0.6921053,118062658.6902538,0.6921053,88224786.96756624,0.6921053,68372627.76917925,0.6921053,54514838.19982485,0.6921053,44467398.52470575,0.6921053,36955060.05631972,0.6921053,31193440.1067435,0.6921053,26679004.53603568,0.6921053,23076719.46213646
0.7526316,2788278080.635747,0.7526316,790325707.9817765,0.7526316,365531129.9135748,0.7526316,209293262.3920943,0.7526316,135206265.1980566,0.7526316,94415485.03228548,0.7526316,69616955.62054099,0.7526316,53434802.12106793,0.7526316,42298656.36550397,0.7526316,34311082.67077658,0.7526316,28388713.98821674,0.7526316,23876733.43320619,0.7526316,20360564.13766233,0.7526316,17567421.56301726
0.8131579,3148927831.05119,0.8131579,836599209.8293447,0.8131579,380771200.2340195,0.8131579,217196032.6513205,0.8131579,140372119.9024048,0.8131579,98199454.34554969,0.8131579,72560408.53372583,0.8131579,55807966.86966585,0.8131579,44258651.18905295,0.8131579,35958916.06916393,0.8131579,29793758.91879421,0.8131579,25088819.32735668,0.8131579,21416644.35274024,0.8131579,18495568.49642114
0.8736842,3902720453.149888,0.8736842,1034433725.886452,0.8736842,470261613.3350533,0.8736842,268095019.2089261,0.8736842,173207362.299964,0.8736842,121136118.5373617,0.8736842,89486701.3674922,0.8736842,68811418.37677902,0.8736842,54560486.10316476,0.8736842,44321234.50552701,0.8736842,36716758.06426612,0.8736842,30914386.07693208,0.8736842,26386381.33329415,0.8736842,22785042.18693591
0.9342105000000001,4362074065.728967,0.9342105000000001,1169896814.205782,0.9342105000000001,532522933.3822575,0.9342105000000001,303344673.3009624,0.9342105000000001,195724033.2631806,0.9342105000000001,136704049.8384419,0.9342105000000001,100869169.9520033,0.9342105000000001,77486516.27200541,0.9342105000000001,61387169.86960552,0.9342105000000001,49831410.44304105,0.9342105000000001,41256815.35041354,0.9342105000000001,34719321.70007835,0.9342105000000001,29621120.92890138,0.9342105000000001,25568686.96815228
0.9947368,4455653348.166193,0.9947368,1206793738.813002,0.9947368,550435166.5134832,0.9947368,313634508.7276642,0.9947368,202310849.0182759,0.9947368,141249148.0749436,0.9947368,104181795.8650652,0.9947368,80002918.03640895,0.9947368,63361396.65415251,0.9947368,51420666.30400619,0.9947368,42563258.62780821,0.9947368,35812070.78416859,0.9947368,30548545.10559902,0.9947368,26365618.03814582
1.055263,4382372143.904262,1.055263,1196068048.335517,1.055263,546806871.3176711,1.055263,311866511.3338189,1.055263,201261683.4660699,1.055263,140550150.9907548,1.055263,103680532.9916592,1.055263,79624942.97416812,1.055263,63065836.94573256,1.055263,51183086.76534616,1.055263,42368086.92675469,1.055263,35648881.75296432,1.055263,30410082.26418469,1.055263,26246668.65810708
1.115789,4262210732.147661,1.115789,1171091449.149782,1.115789,536680458.0000229,1.115789,306467115.7103266,1.115789,197922466.429369,1.115789,138285505.4386725,1.115789,102045313.5694727,1.115789,78389493.55144936,1.115789,62099901.78450937,1.115789,50407359.42531729,1.115789,41731548.23262787,1.115789,35117233.90713216,1.115789,29959424.13443426,1.115789,25859837.80425921
1.176316,4136921465.823333,1.176316,1143908629.92082,1.176316,525504948.8393845,1.176316,300479123.1362032,1.176316,194214490.3122266,1.176316,135771070.6504384,1.176316,100230862.2389182,1.176316,77019670.31235111,1.176316,61029705.68687228,1.176316,49548485.53085261,1.176316,41027203.80657092,1.176316,34529259.90873573,1.176316,29461245.50560817,1.176316,25432384.66147763
1.236842,4016501320.409798,1.236842,1117553460.945249,1.236842,514659147.2803,1.236842,294670165.0372009,1.236842,190620104.8377956,1.236842,133335579.150159,1.236842,98474636.32534856,1.236842,75694632.60931312,1.236842,59995054.31577238,1.236842,48718519.0436286,1.236842,40346834.16154815,1.236842,33961493.02385345,1.236842,28980330.36790746,1.236842,25019851.10635279
1.297368,3901707944.121732,1.297368,1092355814.781818,1.297368,504295763.5478397,1.297368,289123682.9535053,1.297368,187190294.0194367,1.297368,131012794.6456117,1.297368,96800385.17130415,1.297368,74431880.41559911,1.297368,59009324.19610806,1.297368,47927990.33403663,1.297368,39698930.93096633,1.297368,33420918.63023482,1.297368,28522521.82456868,1.297368,24627194.51885174
1.357895,3791481064.828102,1.357895,1068075933.594868,1.357895,494307643.7334691,1.357895,283778635.1287943,1.357895,183885502.9566416,1.357895,128774956.673341,1.357895,95187536.72429648,1.357895,73215553.10333739,1.357895,58059912.47897704,1.357895,47166643.86138526,1.357895,39074986.09663877,1.357895,32900364.84592222,1.357895,28081692.48679957,1.357895,24249119.46707513
1.418421,3684831005.173885,1.418421,1044466312.207465,1.418421,484583309.7250012,1.418421,278572069.9209148,1.418421,180665429.2807633,1.418421,126594102.6643644,1.418421,93615572.93281104,1.418421,72029961.73390125,1.418421,57134437.70471632,1.418421,46424461.24351369,1.418421,38466727.66156401,1.418421,32392886.49634451,1.418421,27651928.73269858,1.418421,23880530.10116791
1.478947,3581116471.114212,1.478947,1021365012.543613,1.478947,475049853.8332952,1.478947,273462923.9667241,1.478947,177503864.0369282,1.478947,124452099.8107776,1.478947,92071220.95909603,1.478947,70864978.12677257,1.478947,56224920.50464558,1.478947,45694995.206331,1.478947,37868838.57914241,1.478947,31894023.88796229,1.478947,27229436.52440527,1.478947,23518159.46644653
1.539474,3479963270.991803,1.539474,998679700.5255772,1.539474,465665932.152185,1.539474,268427977.2584434,1.539474,174386017.2701501,1.539474,122338731.9658097,1.539474,90547012.32715003,1.539474,69714909.12270202,1.539474,55326879.33939914,1.539474,44974627.18642738,1.539474,37278336.33629673,1.539474,31401276.62686984,1.539474,26812089.54465409,1.539474,23160177.28230225
1.6,3381155644.915964,1.6,976360085.3146093,1.6,456409313.1360325,1.6,263454804.1327736,1.6,171303994.4454674,1.6,120248554.5686299,1.6,89038971.12442896,1.6,68576726.31985293,1.6,54437931.75494812,1.6,44261434.41560106,1.6,36693636.74433495,1.6,30913317.02309569,1.6,26398759.03070455,1.6,22805612.15302043
