gm_gds (L_var=1.05e-06) X,gm_gds (L_var=1.05e-06) Y,gm_gds (L_var=2.05e-06) X,gm_gds (L_var=2.05e-06) Y,gm_gds (L_var=3.05e-06) X,gm_gds (L_var=3.05e-06) Y,gm_gds (L_var=4.05e-06) X,gm_gds (L_var=4.05e-06) Y,gm_gds (L_var=5.05e-06) X,gm_gds (L_var=5.05e-06) Y,gm_gds (L_var=6.05e-06) X,gm_gds (L_var=6.05e-06) Y,gm_gds (L_var=7.05e-06) X,gm_gds (L_var=7.05e-06) Y,gm_gds (L_var=8.05e-06) X,gm_gds (L_var=8.05e-06) Y,gm_gds (L_var=9.05e-06) X,gm_gds (L_var=9.05e-06) Y,gm_gds (L_var=1.005e-05) X,gm_gds (L_var=1.005e-05) Y,gm_gds (L_var=1.105e-05) X,gm_gds (L_var=1.105e-05) Y,gm_gds (L_var=1.205e-05) X,gm_gds (L_var=1.205e-05) Y,gm_gds (L_var=1.305e-05) X,gm_gds (L_var=1.305e-05) Y,gm_gds (L_var=1.405e-05) X,gm_gds (L_var=1.405e-05) Y
0.45,557.9227707629366,0.45,1752.290163669482,0.45,2546.52647692906,0.45,3315.999353160392,0.45,4082.35460021242,0.45,4846.351263983044,0.45,5608.131465082313,0.45,6367.778250902772,0.45,7125.346576234886,0.45,7880.873705555796,0.45,8634.385613074743,0.45,9385.90116269108,0.45,10135.43481811044,0.45,10882.99835806637
0.5105263,566.1381074630564,0.5105263,1725.866790854219,0.5105263,2503.684300165405,0.5105263,3259.33500025305,0.5105263,4011.609531987588,0.5105263,4761.296410880817,0.5105263,5508.634602374536,0.5105263,6253.771673190403,0.5105263,6996.803519151056,0.5105263,7737.792943903331,0.5105263,8476.78154367048,0.5105263,9213.797551020545,0.5105263,9948.860947153053,0.5105263,10681.98670826775
0.5710526,566.4625058808482,0.5710526,1665.964437289319,0.5710526,2412.26714037054,0.5710526,3138.899096767649,0.5710526,3861.631202100073,0.5710526,4581.398461453237,0.5710526,5298.611547445098,0.5710526,6013.52861081523,0.5710526,6726.314642499947,0.5710526,7437.074940696385,0.5710526,8145.876710906859,0.5710526,8852.763280726469,0.5710526,9557.763328207106,0.5710526,10260.89671724766
0.6315789000000001,553.9006222242106,0.6315789000000001,1560.119883077196,0.6315789000000001,2254.891732415231,0.6315789000000001,2932.656763206187,0.6315789000000001,3606.08287059604,0.6315789000000001,4276.264381238478,0.6315789000000001,4943.776763211071,0.6315789000000001,5608.979505783071,0.6315789000000001,6272.098310819769,0.6315789000000001,6933.274264698032,0.6315789000000001,7592.595144872361,0.6315789000000001,8250.115706663813,0.6315789000000001,8905.870682077104,0.6315789000000001,9559.882907654412
0.6921053,529.9382755438149,0.6921053,1427.50602121961,0.6921053,2060.329207417029,0.6921053,2679.013462383003,0.6921053,3293.428047176448,0.6921053,3904.652144472503,0.6921053,4513.296577273596,0.6921053,5119.742714469744,0.6921053,5724.229100318325,0.6921053,6326.904225460965,0.6921053,6927.859976505992,0.6921053,7527.153236411861,0.6921053,8124.819695361397,0.6921053,8720.882473843105
0.7526316,492.1046986408288,0.7526316,1270.538961214319,0.7526316,1831.713069965257,0.7526316,2379.919280673899,0.7526316,2923.13197843634,0.7526316,3462.70151800306,0.7526316,3999.456754793788,0.7526316,4533.923218871184,0.7526316,5066.432828009851,0.7526316,5597.193389956253,0.7526316,6126.333666856439,0.7526316,6653.933003142403,0.7526316,7180.040532090101,0.7526316,7704.68729875212
0.8131579,425.3742622657816,0.8131579,1040.089489057162,0.8131579,1497.659933416971,0.8131579,1943.134864677363,0.8131579,2382.800050147093,0.8131579,2818.411205404774,0.8131579,3251.068214913109,0.8131579,3681.457653669427,0.8131579,4110.006119900725,0.8131579,4536.976169639022,0.8131579,4962.527345323482,0.8131579,5386.755606380685,0.8131579,5809.71851978807,0.8131579,6231.450964361906
0.8736842,341.8957972711281,0.8736842,784.9313003450195,0.8736842,1129.230707148409,0.8736842,1464.152892972651,0.8736842,1794.01775775243,0.8736842,2120.412049723785,0.8736842,2444.327152010615,0.8736842,2766.373450351708,0.8736842,3086.925387183595,0.8736842,3406.210645530328,0.8736842,3724.36587527558,0.8736842,4041.472146674671,0.8736842,4357.577317699413,0.8736842,4672.709833157391
0.9342105000000001,267.0133546685718,0.9342105000000001,580.3667511992647,0.9342105000000001,834.6140538021402,0.9342105000000001,1082.431167931965,0.9342105000000001,1326.547621599979,0.9342105000000001,1568.106455649219,0.9342105000000001,1807.82090983536,0.9342105000000001,2046.127986714383,0.9342105000000001,2283.294684516951,0.9342105000000001,2519.482848675617,0.9342105000000001,2754.789411118196,0.9342105000000001,2989.271837962041,0.9342105000000001,3222.964106413696,0.9342105000000001,3455.88652146265
0.9947368,210.4038570151308,0.9947368,439.1426456425332,0.9947368,631.4950025642885,0.9947368,819.5229740303763,0.9947368,1004.946378112483,0.9947368,1188.532442022666,0.9947368,1370.760705722781,0.9947368,1551.925164330144,0.9947368,1732.205686156966,0.9947368,1911.711582859634,0.9947368,2090.508626078174,0.9947368,2268.636123737414,0.9947368,2446.117636536327,0.9947368,2622.967560174928
1.055263,169.8586348552578,1.055263,344.5019490988099,1.055263,495.4522577498713,1.055263,643.3900087818121,1.055263,789.4415846837726,1.055263,934.1267432304005,1.055263,1077.77146951924,1.055263,1220.576278841106,1.055263,1362.664358782732,1.055263,1504.111007565735,1.055263,1644.961926245079,1.055263,1785.244801341164,1.055263,1924.976584323901,1.055263,2064.167968204364
1.115789,140.639949335613,1.115789,279.4809473875598,1.115789,401.9997718018264,1.115789,522.3074502967088,1.115789,641.1790580549942,1.115789,758.9805329934526,1.115789,875.9423989152558,1.115789,992.2071039532735,1.115789,1107.862659927654,1.115789,1222.963283313068,1.115789,1337.542259624269,1.115789,1451.620109782067,1.115789,1565.209732971749,1.115789,1678.319574564067
1.176316,118.9702908259772,1.176316,232.9138057607377,1.176316,335.0644998337385,1.176316,435.506791923897,1.176316,534.7991654503309,1.176316,633.2106793025346,1.176316,730.9116851102104,1.176316,828.008015662885,1.176316,924.5655057684567,1.176316,1020.62509513353,1.176316,1116.212270835813,1.176316,1211.343077037487,1.176316,1306.027907469045,1.176316,1400.27384542853
1.236842,102.3671855019911,1.236842,198.1579328715097,1.236842,285.0952496419762,1.236842,370.6522091492304,1.236842,455.2470723894945,1.236842,539.0855319308914,1.236842,622.298561724426,1.236842,704.968033894947,1.236842,787.1452878608959,1.236842,868.8626118319513,1.236842,950.1404431250588,1.236842,1030.991962189555,1.236842,1111.425997322373,1.236842,1191.448819669068
1.297368,89.26775490542515,1.297368,171.2844798497856,1.297368,246.4455906703159,1.297368,320.4484382651216,1.297368,393.6162161267872,1.297368,466.1113820093632,1.297368,538.0380541619945,1.297368,609.461789322256,1.297368,680.4240925957245,1.297368,750.9514246694712,1.297368,821.0608672145302,1.297368,890.7637461206632,1.297368,960.0679265902721,1.297368,1028.979233461512
1.357895,78.67735283370079,1.357895,149.8999656432302,1.357895,215.6763150928805,1.357895,280.4489432980836,1.357895,344.4739911702767,1.357895,407.883271606995,1.357895,470.761907278366,1.357895,533.1639641735237,1.357895,595.1240760972412,1.357895,656.6646904912297,1.357895,717.8006394326177,1.357895,778.5420697643059,1.357895,838.89630249011,1.357895,898.868985105952
1.418421,69.94324793669939,1.418421,132.4849067273473,1.418421,190.6040595899896,1.418421,247.8285525000223,1.418421,304.3656857387234,1.418421,360.324872414897,1.418421,415.7774164056622,1.418421,470.769097220684,1.418421,525.3296687266818,1.418421,579.4788058331537,1.418421,633.2298673942195,1.418421,686.5923141246672,1.418421,739.5732458333217,1.418421,792.1783555369899
1.478947,62.6215464085564,1.478947,118.0330855157218,1.478947,169.7827059275387,1.478947,220.7143413251909,1.478947,270.9988098203333,1.478947,320.7287822801442,1.478947,369.9653283880759,1.478947,418.7481899791032,1.478947,467.1036656649588,1.478947,515.0495704015766,1.478947,562.5983840249589,1.478947,609.7592796587764,1.478947,656.5394159913809,1.478947,702.9447407401848
1.539474,56.39990526130513,1.539474,105.8518881726552,1.539474,152.2163926868712,1.539474,197.8151422870538,1.539474,242.7911986819338,1.539474,287.224559510428,1.539474,331.1686772340408,1.539474,374.6589338291311,1.539474,417.7192681940799,1.539474,460.3663667355268,1.539474,502.6123333689606,1.539474,544.4664147251174,1.539474,585.9361019523806,1.539474,627.0278172280755
1.6,51.05178892160639,1.6,95.44811727645218,1.6,137.1953614018775,1.6,178.2094446482521,1.6,218.6120780272209,1.6,258.4736650983927,1.6,297.8420702642483,1.6,336.7496612987997,1.6,375.2189356910859,1.6,413.2660993364565,1.6,450.9033562224803,1.6,488.1403931422447,1.6,524.9853308256503,1.6,561.4453182744157
