id_w (L_var=1.05e-06) X,id_w (L_var=1.05e-06) Y,id_w (L_var=2.05e-06) X,id_w (L_var=2.05e-06) Y,id_w (L_var=3.05e-06) X,id_w (L_var=3.05e-06) Y,id_w (L_var=4.05e-06) X,id_w (L_var=4.05e-06) Y,id_w (L_var=5.05e-06) X,id_w (L_var=5.05e-06) Y,id_w (L_var=6.05e-06) X,id_w (L_var=6.05e-06) Y,id_w (L_var=7.05e-06) X,id_w (L_var=7.05e-06) Y,id_w (L_var=8.05e-06) X,id_w (L_var=8.05e-06) Y,id_w (L_var=9.05e-06) X,id_w (L_var=9.05e-06) Y,id_w (L_var=1.005e-05) X,id_w (L_var=1.005e-05) Y,id_w (L_var=1.105e-05) X,id_w (L_var=1.105e-05) Y,id_w (L_var=1.205e-05) X,id_w (L_var=1.205e-05) Y,id_w (L_var=1.305e-05) X,id_w (L_var=1.305e-05) Y,id_w (L_var=1.405e-05) X,id_w (L_var=1.405e-05) Y
0.45,0.02994675165074395,0.45,0.01842111148675945,0.45,0.01328625613164991,0.45,0.0104596443456612,0.45,0.00865635706951739,0.45,0.007396136104685873,0.45,0.00646120616420472,0.45,0.005737934170149809,0.45,0.005160811346920731,0.45,0.004689193530964981,0.45,0.004296405763148293,0.45,0.003964150623260781,0.45,0.003679424835002345,0.45,0.003432716624746639
0.5105263,0.1249704607161381,0.5105263,0.07525750083970514,0.5105263,0.05382897989170819,0.5105263,0.04215129368123968,0.5105263,0.03474972500024791,0.5105263,0.02960411397063052,0.5105263,0.0258032458957647,0.5105263,0.02287353960626032,0.5105263,0.02054297160394724,0.5105263,0.0186433605298209,0.5105263,0.01706470569391048,0.5105263,0.01573180233153409,0.5105263,0.01459137247265461,0.5105263,0.01360455704074388
0.5710526,0.4147780902742343,0.5710526,0.2419215017289215,0.5710526,0.1708558869173358,0.5710526,0.1327153684209471,0.5710526,0.1087828470056229,0.5710526,0.09227688885260402,0.5710526,0.08016399356095059,0.5710526,0.07087776252919943,0.5710526,0.06352376935098139,0.5710526,0.05755210752044262,0.5710526,0.05260501204859518,0.5710526,0.04843911317092466,0.5710526,0.04488280321971056,0.5710526,0.04181145385799024
0.6315789000000001,1.04064282791012,0.6315789000000001,0.5882766496720129,0.6315789000000001,0.410450876176506,0.6315789000000001,0.316396184304913,0.6315789000000001,0.2579428337155607,0.6315789000000001,0.2179313206737454,0.6315789000000001,0.1887482715351514,0.6315789000000001,0.1664876664604741,0.6315789000000001,0.1489320629492135,0.6315789000000001,0.134725479178614,0.6315789000000001,0.1229901621722133,0.6315789000000001,0.1131318190433066,0.6315789000000001,0.1047332064986713,0.6315789000000001,0.0974924989338453
0.6921053,2.058112917657277,0.6921053,1.138531616253416,0.6921053,0.7877736380155574,0.6921053,0.6040578391848732,0.6921053,0.4906228243743502,0.6921053,0.4133750980535712,0.6921053,0.3572692923612835,0.6921053,0.3146197744193502,0.6921053,0.2810805510422517,0.6921053,0.254003729267799,0.6921053,0.2316811394731515,0.6921053,0.2129599313197964,0.6921053,0.1970330868694099,0.6921053,0.1833183896813554
0.7526316,3.449860420818221,0.7526316,1.88431390300446,0.7526316,1.297395143341491,0.7526316,0.9916718888388232,0.7526316,0.8036141513918129,0.7526316,0.675940436638918,0.7526316,0.5834442356598306,0.7526316,0.5132798284759547,0.7526316,0.4581995600679977,0.7526316,0.4137970285501981,0.7526316,0.3772353926701429,0.7526316,0.3466037095710301,0.7526316,0.3205666558909192,0.7526316,0.2981624425519819
0.8131579,5.185425137109847,0.8131579,2.812973821452515,0.8131579,1.931614858909242,0.8131579,1.473774396242463,0.8131579,1.192707460487339,0.8131579,1.002214394579532,0.8131579,0.8644081022171529,0.8131579,0.7600017839185662,0.8131579,0.6781259817463603,0.8131579,0.612179864795564,0.8131579,0.5579186083205055,0.8131579,0.5124859460600037,0.8131579,0.4738880450976381,0.8131579,0.4406901916063903
0.8736842,7.242978991051838,0.8736842,3.916266661175792,0.8736842,2.685683488050049,0.8736842,2.047121108967691,0.8736842,1.655471948990297,0.8736842,1.390267265679992,0.8736842,1.19856748741814,0.8736842,1.053432047349986,0.8736842,0.9396851319376771,0.8736842,0.8481157752837499,0.8736842,0.7728041217286282,0.8736842,0.7097691904235489,0.8736842,0.6562336631437142,0.8736842,0.6102001610261026
0.9342105000000001,9.608054120185146,0.9342105000000001,5.189229414653159,0.9342105000000001,3.556944398378227,0.9342105000000001,2.709995406584272,0.9342105000000001,2.190676158615998,0.9342105000000001,1.839155024439158,0.9342105000000001,1.58516491395442,0.9342105000000001,1.392942343069548,0.9342105000000001,1.242342685800959,0.9342105000000001,1.121141390445858,0.9342105000000001,1.021483798857746,0.9342105000000001,0.9380893834857221,0.9342105000000001,0.8672753500024337,0.9342105000000001,0.8063939412329491
0.9947368,12.26938660345255,0.9947368,6.628186081543942,0.9947368,4.543530006148464,0.9947368,3.461243965172674,0.9947368,2.797524439893853,0.9947368,2.348288143580203,0.9947368,2.023741286447932,0.9947368,1.778161829629151,0.9947368,1.585790605505206,0.9947368,1.430995159802958,0.9947368,1.303731604181003,0.9947368,1.197248334744775,0.9947368,1.106837224316898,0.9947368,1.029113855279983
