gm_gds (L_var=1.05e-06) X,gm_gds (L_var=1.05e-06) Y,gm_gds (L_var=2.05e-06) X,gm_gds (L_var=2.05e-06) Y,gm_gds (L_var=3.05e-06) X,gm_gds (L_var=3.05e-06) Y,gm_gds (L_var=4.05e-06) X,gm_gds (L_var=4.05e-06) Y,gm_gds (L_var=5.05e-06) X,gm_gds (L_var=5.05e-06) Y,gm_gds (L_var=6.05e-06) X,gm_gds (L_var=6.05e-06) Y,gm_gds (L_var=7.05e-06) X,gm_gds (L_var=7.05e-06) Y,gm_gds (L_var=8.05e-06) X,gm_gds (L_var=8.05e-06) Y,gm_gds (L_var=9.05e-06) X,gm_gds (L_var=9.05e-06) Y,gm_gds (L_var=1.005e-05) X,gm_gds (L_var=1.005e-05) Y,gm_gds (L_var=1.105e-05) X,gm_gds (L_var=1.105e-05) Y,gm_gds (L_var=1.205e-05) X,gm_gds (L_var=1.205e-05) Y,gm_gds (L_var=1.305e-05) X,gm_gds (L_var=1.305e-05) Y,gm_gds (L_var=1.405e-05) X,gm_gds (L_var=1.405e-05) Y
0.45,494.8990629269784,0.45,641.6494880674527,0.45,750.1521330519651,0.45,856.8023881258379,0.45,962.4381577722251,0.45,1067.40871639152,0.45,1171.907567210664,0.45,1276.05248431676,0.45,1379.919025015744,0.45,1483.557336733244,0.45,1587.001569493113,0.45,1690.275519048588,0.45,1793.396142881941,0.45,1896.375799346333
0.5105263,523.0215641129062,0.5105263,668.7219687567713,0.5105263,766.3302098042533,0.5105263,860.3616484543111,0.5105263,952.5475067583528,0.5105263,1043.597963868304,0.5105263,1133.889544132431,0.5105263,1223.643322277975,0.5105263,1312.997111310317,0.5105263,1402.040295424733,0.5105263,1490.832614855304,0.5105263,1579.415054399845,0.5105263,1667.816438189377,0.5105263,1756.057533868216
0.5710526,543.6952766343472,0.5710526,677.5900139260502,0.5710526,757.0858528206679,0.5710526,831.8691969615603,0.5710526,904.3664732104118,0.5710526,975.5466908767994,0.5710526,1045.892953795765,0.5710526,1115.673963022544,0.5710526,1185.049974481419,0.5710526,1254.121251515779,0.5710526,1322.952867577601,0.5710526,1391.588417959837,0.5710526,1460.057984848283,0.5710526,1528.382918721924
0.6315789000000001,523.3598151142703,0.6315789000000001,643.7387591844013,0.6315789000000001,708.0386153852676,0.6315789000000001,766.3387365794435,0.6315789000000001,821.8517419474248,0.6315789000000001,875.8305187334769,0.6315789000000001,928.8722145372079,0.6315789000000001,981.2965917231381,0.6315789000000001,1033.289019591974,0.6315789000000001,1084.963247177567,0.6315789000000001,1136.392235803874,0.6315789000000001,1187.624572859417,0.6315789000000001,1238.693715086162,0.6315789000000001,1289.623411168674
0.6921053,478.4961692825536,0.6921053,590.4341628934994,0.6921053,646.2821634420812,0.6921053,694.4100192844437,0.6921053,738.9810825783352,0.6921053,781.6159582477251,0.6921053,823.0785236937313,0.6921053,863.7744856608625,0.6921053,903.9381942270204,0.6921053,943.7136603622641,0.6921053,983.1937801767239,0.6921053,1022.44093633552,0.6921053,1061.498492259007,0.6921053,1100.397511633334
0.7526316,430.945063078919,0.7526316,538.5620116260859,0.7526316,590.6786482247688,0.7526316,633.3035950943299,0.7526316,671.5048335137793,0.7526316,707.2827275715084,0.7526316,741.5868117093959,0.7526316,774.9245342571413,0.7526316,807.5910027442702,0.7526316,839.7690177120506,0.7526316,871.5775617410774,0.7526316,903.0972812430767,0.7526316,934.3847328450084,0.7526316,965.4807500236499
0.8131579,388.8253347953793,0.8131579,494.1670263220545,0.8131579,545.0805990513692,0.8131579,584.9240600575291,0.8131579,619.5071370726012,0.8131579,651.1734308666016,0.8131579,681.0507844398936,0.8131579,709.7483807214976,0.8131579,737.6237448870448,0.8131579,764.9002329082463,0.8131579,791.7244011608032,0.8131579,818.196330680108,0.8131579,844.386677592066,0.8131579,870.3467494318354
0.8736842,352.6908220367365,0.8736842,456.5202544891265,0.8736842,507.4840808296012,0.8736842,546.068194662924,0.8736842,578.6337203728139,0.8736842,607.8138745046563,0.8736842,634.8970382549144,0.8736842,660.58767654079,0.8736842,685.3032966367728,0.8736842,709.3069040354595,0.8736842,732.772331855584,0.8736842,755.8190481061599,0.8736842,778.5318639637444,0.8736842,800.9726579163338
0.9342105000000001,321.2463160844551,0.9342105000000001,423.6441016957795,0.9342105000000001,475.2216850189667,0.9342105000000001,513.3978790094581,0.9342105000000001,544.8952466769819,0.9342105000000001,572.5765834620962,0.9342105000000001,597.8684157571115,0.9342105000000001,621.5611512692496,0.9342105000000001,644.128068677446,0.9342105000000001,665.8698166842566,0.9342105000000001,686.9865163536699,0.9342105000000001,707.6165324907549,0.9342105000000001,727.8585978203889,0.9342105000000001,747.7850653203279
0.9947368,293.2776109092111,0.9947368,393.9654231338281,0.9947368,446.3247846306418,0.9947368,484.5542137250488,0.9947368,515.5552214044842,0.9947368,542.3565152259969,0.9947368,566.4971595550127,0.9947368,588.8420879249377,0.9947368,609.9148627297905,0.9947368,630.0509881297711,0.9947368,649.4754019594407,0.9947368,668.3445735624039,0.9947368,686.7707311170109,0.9947368,704.8364803221261
1.055263,267.9675208464313,1.055263,366.486728023882,1.055263,419.5524957396747,1.055263,458.0514487518033,1.055263,488.8933327609018,1.055263,515.2071270645004,1.055263,538.6161873672296,1.055263,560.0466681674235,1.055263,580.0656993306609,1.055263,599.0400660958239,1.055263,617.2175450375877,1.055263,634.7715862887667,1.055263,651.8272665151068,1.055263,668.477072230289
