fT*gm_id (L_var=1.05e-06) X,fT*gm_id (L_var=1.05e-06) Y,fT*gm_id (L_var=2.05e-06) X,fT*gm_id (L_var=2.05e-06) Y,fT*gm_id (L_var=3.05e-06) X,fT*gm_id (L_var=3.05e-06) Y,fT*gm_id (L_var=4.05e-06) X,fT*gm_id (L_var=4.05e-06) Y,fT*gm_id (L_var=5.05e-06) X,fT*gm_id (L_var=5.05e-06) Y,fT*gm_id (L_var=6.05e-06) X,fT*gm_id (L_var=6.05e-06) Y,fT*gm_id (L_var=7.05e-06) X,fT*gm_id (L_var=7.05e-06) Y,fT*gm_id (L_var=8.05e-06) X,fT*gm_id (L_var=8.05e-06) Y,fT*gm_id (L_var=9.05e-06) X,fT*gm_id (L_var=9.05e-06) Y,fT*gm_id (L_var=1.005e-05) X,fT*gm_id (L_var=1.005e-05) Y,fT*gm_id (L_var=1.105e-05) X,fT*gm_id (L_var=1.105e-05) Y,fT*gm_id (L_var=1.205e-05) X,fT*gm_id (L_var=1.205e-05) Y,fT*gm_id (L_var=1.305e-05) X,fT*gm_id (L_var=1.305e-05) Y,fT*gm_id (L_var=1.405e-05) X,fT*gm_id (L_var=1.405e-05) Y
0.45,5422369010.096805,0.45,1681106625.428466,0.45,791028863.0484719,0.45,455285217.0956177,0.45,294622367.6214855,0.45,205813123.1127966,0.45,151723551.6034093,0.45,116400447.5119552,0.45,92087014.58263063,0.45,74649878.35626252,0.45,61725091.40448545,0.45,51882348.27487364,0.45,44215548.03522102,0.45,38128305.44030669
0.5105263,6159169246.805695,0.5105263,1674412494.513599,0.5105263,762748012.3432679,0.5105263,434193739.603982,0.5105263,279873038.1297877,0.5105263,195279078.3774714,0.5105263,143950671.8180133,0.5105263,110482843.2930885,0.5105263,87456668.00421777,0.5105263,70940817.39028978,0.5105263,58694126.41026475,0.5105263,49362983.70168313,0.5105263,42090627.10566724,0.5105263,36313327.62437865
0.5710526,7553588273.936497,0.5710526,2059258457.792555,0.5710526,941915929.7687811,0.5710526,538164607.4948168,0.5710526,347925005.0334544,0.5710526,243335960.8451082,0.5710526,179714641.6413908,0.5710526,138142411.9605724,0.5710526,109488459.0759618,0.5710526,88904389.77295543,0.5710526,73621031.87880051,0.5710526,61963015.53478193,0.5710526,52868295.49916498,0.5710526,45637110.17473596
0.6315789000000001,9255983211.827473,0.6315789000000001,2492047399.193902,0.6315789000000001,1134205794.872503,0.6315789000000001,645940772.2104199,0.6315789000000001,416638975.4913056,0.6315789000000001,290897236.2708017,0.6315789000000001,214564919.1914657,0.6315789000000001,164768902.1897765,0.6315789000000001,130492343.8438199,0.6315789000000001,105895858.8698825,0.6315789000000001,87649527.98285547,0.6315789000000001,73741524.99706408,0.6315789000000001,62898077.32291596,0.6315789000000001,54280818.51876668
0.6921053,9938275895.853476,0.6921053,2659598939.168328,0.6921053,1207788803.271408,0.6921053,686763274.2281584,0.6921053,442445803.9780845,0.6921053,308640548.524322,0.6921053,227499172.3799751,0.6921053,174611960.2161779,0.6921053,138233494.4845553,0.6921053,112143846.7041166,0.6921053,92799008.17786047,0.6921053,78059388.46897712,0.6921053,66571212.26626243,0.6921053,57443974.1146441
0.7526316,9899876457.798624,0.7526316,2659597921.650128,0.7526316,1209654016.86478,0.7526316,688294991.19727,0.7526316,443591921.1395075,0.7526316,309508470.8558854,0.7526316,228174522.8555571,0.7526316,175151773.9526642,0.7526316,138675217.249395,0.7526316,112512538.705468,0.7526316,93111901.06386067,0.7526316,78328663.84977381,0.7526316,66805708.51746719,0.7526316,57650256.86620145
0.8131579,9632035812.560398,0.8131579,2608901899.30356,0.8131579,1190327554.169559,0.8131579,678410749.6445585,0.8131579,437662623.2672793,0.8131579,305580646.2795128,0.8131579,225391339.1719872,0.8131579,173081565.1132858,0.8131579,137077939.2597732,0.8131579,111244457.8835428,0.8131579,92081863.131283,0.8131579,77476145.20545737,0.8131579,66088988.5250451,0.8131579,57039665.36235723
0.8736842,9336924109.147278,0.8736842,2552649188.727021,0.8736842,1168831415.148767,0.8736842,667428597.6755148,0.8736842,431088263.2349413,0.8736842,301234324.3045357,0.8736842,222316736.4301563,0.8736842,170797410.1770575,0.8736842,135317057.0765919,0.8736842,109847178.4469582,0.8736842,90947122.58335461,0.8736842,76536963.32043739,0.8736842,65299270.39567699,0.8736842,56366677.60441055
0.9342105000000001,9062181936.485462,0.9342105000000001,2500865296.616329,0.9342105000000001,1149270490.86898,0.9342105000000001,657530300.6100159,0.9342105000000001,425208052.8068743,0.9342105000000001,297370727.1745787,0.9342105000000001,219597120.3675605,0.9342105000000001,168785097.9657072,0.9342105000000001,133770856.5609299,0.9342105000000001,108623598.940284,0.9342105000000001,89955707.03008537,0.9342105000000001,75717976.65235075,0.9342105000000001,64611735.59989958,0.9342105000000001,55781579.06965521
0.9947368,8809341773.722235,0.9947368,2453480251.548248,0.9947368,1131528953.336071,0.9947368,648620870.6036582,0.9947368,419948184.1371602,0.9947368,293932242.7744218,0.9947368,217186820.7127157,0.9947368,167007810.6807485,0.9947368,132409183.1522055,0.9947368,107548666.7512177,0.9947368,89086535.59478438,0.9947368,75001243.96446589,0.9947368,64010959.6429665,0.9947368,55270988.34743346
