gm_if_fT (L_var=3.5e-07) X,gm_if_fT (L_var=3.5e-07) Y,gm_if_fT (L_var=4e-07) X,gm_if_fT (L_var=4e-07) Y,gm_if_fT (L_var=4.5e-07) X,gm_if_fT (L_var=4.5e-07) Y,gm_if_fT (L_var=5e-07) X,gm_if_fT (L_var=5e-07) Y,gm_if_fT (L_var=5.5e-07) X,gm_if_fT (L_var=5.5e-07) Y,gm_if_fT (L_var=6e-07) X,gm_if_fT (L_var=6e-07) Y,gm_if_fT (L_var=6.5e-07) X,gm_if_fT (L_var=6.5e-07) Y,gm_if_fT (L_var=7e-07) X,gm_if_fT (L_var=7e-07) Y,gm_if_fT (L_var=7.5e-07) X,gm_if_fT (L_var=7.5e-07) Y,gm_if_fT (L_var=8e-07) X,gm_if_fT (L_var=8e-07) Y,gm_if_fT (L_var=8.5e-07) X,gm_if_fT (L_var=8.5e-07) Y,gm_if_fT (L_var=9e-07) X,gm_if_fT (L_var=9e-07) Y,gm_if_fT (L_var=9.5e-07) X,gm_if_fT (L_var=9.5e-07) Y,gm_if_fT (L_var=1e-06) X,gm_if_fT (L_var=1e-06) Y
0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan
1.469388,42563755826.86319,1.469388,34809771465.84328,1.469388,29021588466.71194,1.469388,24587929326.19664,1.469388,21113421365.19926,1.469388,18336667491.90912,1.469388,16080147799.1671,1.469388,14219994149.87889,1.469388,12667559314.09847,1.469388,11357941712.83382,1.469388,10242660582.24931,1.469388,9284857920.564455,1.469388,8456075772.95765,1.469388,7734040460.279757
1.510204,41327217719.29338,1.510204,33850526066.12018,1.510204,28260339875.71956,1.510204,23971862018.96257,1.510204,20606463173.87302,1.510204,17913510221.88213,1.510204,15722578576.39446,1.510204,13914603637.54412,1.510204,12404274227.11238,1.510204,11129060217.91195,1.510204,10042202022.75289,1.510204,9108114087.330832,1.510204,8299294654.013474,1.510204,7594199110.623813
1.55102,40138698353.74621,1.55102,32925623189.56095,1.55102,27524301993.35197,1.55102,23374733024.68671,1.55102,20114016545.71519,1.55102,17501663351.31959,1.55102,15373954910.96504,1.55102,13616378833.93609,1.55102,12146793291.7884,1.55102,10904926274.22193,1.55102,9845660590.949919,1.55102,8934627281.90485,1.55102,8145240484.037442,1.55102,7456655108.607069
1.591837,38995831198.54227,1.591837,32033535968.99529,1.591837,26812465947.42679,1.591837,22795862010.9144,1.591837,19635615338.75912,1.591837,17100803899.11124,1.591837,15034051600.94516,1.591837,13325162563.19954,1.591837,11895007398.35996,1.591837,10685465174.72681,1.591837,9652986462.7157,1.591837,8764365826.957273,1.591837,7993894901.258209,1.591837,7321399901.818861
1.632653,37896430437.30289,1.632653,31172849425.95515,1.632653,26123894270.24058,1.632653,22234615578.88675,1.632653,19170825108.2576,1.632653,16710630819.3789,1.632653,14702658958.63327,1.632653,13040808839.13946,1.632653,11648815651.81742,1.632653,10470608341.61023,1.632653,9464134456.077612,1.632653,8597301610.629221,1.632653,7845242318.93367,1.632653,7188427125.180522
1.673469,36838441481.12836,1.673469,30342224752.98273,1.673469,25457694360.27422,1.673469,21690386985.21717,1.673469,18719227221.0336,1.673469,16330852287.72979,1.673469,14379572448.46752,1.673469,12763174287.97275,1.673469,11408118177.2892,1.673469,10260287221.89193,1.673469,9279058799.870462,1.673469,8433405563.786808,1.673469,7699265984.591766,1.673469,7057729143.225225
1.714286,35819933568.94727,1.714286,29540395949.64205,1.714286,24813017113.99129,1.714286,21162595745.14461,1.714286,18280418915.37362,1.714286,15961185958.40405,1.714286,14064593011.36481,1.714286,12492118476.0337,1.714286,11172816421.48725,1.714286,10054433550.64315,1.714286,9097713355.748724,1.714286,8272647842.276769,1.714286,7555948125.971665,1.714286,6929297163.88723
1.755102,34839088571.53493,1.755102,28766163286.92695,1.755102,24189052961.83487,1.755102,20650685123.57847,1.755102,17854011640.43202,1.755102,15601357814.01468,1.755102,13757526231.17207,1.755102,12227503278.91664,1.755102,10942812655.59042,1.755102,9852978944.852745,1.755102,8920051275.879122,1.755102,8114997530.798861,1.755102,7415269689.350928,1.755102,6803121003.321382
1.795918,33894191623.18244,1.795918,28018387975.17381,1.795918,23585028739.09566,1.795918,20154120235.7994,1.795918,17439629861.66069,1.795918,15251101385.43704,1.795918,13458181804.36581,1.795918,11969192505.24297,1.795918,10718009696.11998,1.795918,9655854686.821901,1.795918,8746024827.462044,1.795918,7960422495.106539,1.795918,7277210210.848246,1.795918,6679188970.763281
1.836735,32983623096.28115,1.836735,27295987680.84002,1.836735,23000205124.80455,1.836735,19672386550.85409,1.836735,17036910167.19363,1.836735,14910157206.97219,1.836735,13166373200.54802,1.836735,11717051679.7124,1.836735,10498310761.84046,1.836735,9462991625.791069,1.836735,8575585321.451264,1.836735,7808889327.049984,1.836735,7141747771.182423,1.836735,6557487828.95191
1.877551,32105851593.56469,1.877551,26597932660.21814,1.877551,22433874477.16783,1.877551,19204988666.19128,1.877551,16645500571.13469,1.877551,14578272422.17988,1.877551,12881917443.41383,1.877551,11470947925.92835,1.877551,10283619415.58401,1.877551,9274320153.382818,1.877551,8408683106.472739,1.877551,7660363347.922057,1.877551,7008859003.070639,1.877551,6438002802.439789
1.918367,31259427753.36031,1.918367,25923242370.81289,1.918367,21885358965.74044,1.918367,18751449278.44781,1.918367,16265059954.85831,1.918367,14255200492.62202,1.918367,12604634972.43054,1.918367,11230749915.20902,1.918367,10073839561.82102,1.918367,9089770227.341299,1.918367,8245267605.390126,1.918367,7514808650.006642,1.918367,6878519133.221544,1.918367,6320717617.493206
1.959184,30442978699.03239,1.959184,25270982445.79582,1.959184,21354008918.71641,1.959184,18311308289.50836,1.959184,15895257599.08066,1.959184,13940700971.64692,1.959184,12334349554.07246,1.959184,10996327855.22083,1.959184,9868875477.639986,1.959184,8909271424.242865,1.959184,8085287377.613597,1.959184,7372188161.407639,1.959184,6750702045.648272,1.959184,6205614561.692064
2,29655203032.65645,2,24640261969.40333,2,20839201343.87852,2,17884122018.17081,2,15535772784.13202,2,13634539325.18305,2,12070888227.66094,2,10767553505.6924,2,9668631866.058422,2,8732753011.401533,2,7928690198.427719,2,7232463726.306775,2,6625380359.185772,2,6092674556.746332
