fT (L_var=3.5e-07) X,fT (L_var=3.5e-07) Y,fT (L_var=4e-07) X,fT (L_var=4e-07) Y,fT (L_var=4.5e-07) X,fT (L_var=4.5e-07) Y,fT (L_var=5e-07) X,fT (L_var=5e-07) Y,fT (L_var=5.5e-07) X,fT (L_var=5.5e-07) Y,fT (L_var=6e-07) X,fT (L_var=6e-07) Y,fT (L_var=6.5e-07) X,fT (L_var=6.5e-07) Y,fT (L_var=7e-07) X,fT (L_var=7e-07) Y,fT (L_var=7.5e-07) X,fT (L_var=7.5e-07) Y,fT (L_var=8e-07) X,fT (L_var=8e-07) Y,fT (L_var=8.5e-07) X,fT (L_var=8.5e-07) Y,fT (L_var=9e-07) X,fT (L_var=9e-07) Y,fT (L_var=9.5e-07) X,fT (L_var=9.5e-07) Y,fT (L_var=1e-06) X,fT (L_var=1e-06) Y
1.102041,19247564866.36255,1.102041,15177789147.75875,1.102041,12334386571.53312,1.102041,10251724078.8709,1.102041,8670410632.56036,1.102041,7435986862.67963,1.102041,6451055296.31534,1.102041,5651181716.349158,1.102041,4992019020.509518,1.102041,4442039555.483403,1.102041,3978224530.875569,1.102041,3583392403.670525,1.102041,3244478397.856679,1.102041,2951389441.454572
1.142857,20063170948.06525,1.142857,15851908339.84748,1.142857,12900125087.62278,1.142857,10733218467.2949,1.142857,9085288058.853031,1.142857,7797302102.088935,1.142857,6768649359.421566,1.142857,5932606835.90713,1.142857,5243168558.749034,1.142857,4667582310.186098,1.142857,4181909341.405869,1.142857,3768265741.82233,1.142857,3413042608.336103,1.142857,3105719763.167014
1.183673,20833926522.38454,1.183673,16491486867.6337,1.183673,13438658332.53258,1.183673,11192853307.84458,1.183673,9482295866.776974,1.183673,8143791209.248302,1.183673,7073783804.980384,1.183673,6203443577.460037,1.183673,5485231208.443063,1.183673,4885258635.830173,1.183673,4378731171.944717,1.183673,3947109600.196384,1.183673,3576276064.133826,1.183673,3255309961.528975
1.22449,21561907977.08426,1.22449,17097944277.5652,1.22449,13950984004.05537,1.22449,11631346636.26991,1.22449,9861961082.767418,1.22449,8475847282.45265,1.22449,7366755681.603087,1.22449,6463918760.793256,1.22449,5718381580.983075,1.22449,5095203772.203036,1.22449,4568795199.953677,1.22449,4120005951.942508,1.22449,3734242656.966631,1.22449,3400209721.189906
1.265306,22249149316.77704,1.265306,17672690179.31448,1.265306,14438106001.72826,1.265306,12049430531.07634,1.265306,10224828299.00465,1.265306,8793882228.392921,1.265306,7647880882.04355,1.265306,6714277458.194808,1.265306,5942811640.00481,1.265306,5297569279.687699,1.265306,4752221858.978777,1.265306,4287050982.842923,1.265306,3887019497.089921,1.265306,3540481014.088486
1.306122,22897630131.22371,1.306122,18217113143.40352,1.306122,14901024459.50486,1.306122,12447842283.66123,1.306122,10571451899.97457,1.306122,9098319930.858898,1.306122,7917488133.513417,1.306122,6954777693.014638,1.306122,6158726007.411952,1.306122,5492518865.784215,1.306122,4929143111.780095,1.306122,4448351748.738404,1.306122,4034693902.615011,1.306122,3676195376.57907
1.346939,23509263431.17457,1.346939,18732569245.99289,1.346939,15340725544.17202,1.346939,12827315495.65238,1.346939,10902388340.66796,1.346939,9389589551.032839,1.346939,8175913165.240374,1.346939,7185685338.037105,1.346939,6366337477.222651,1.346939,5680224418.666781,1.346939,5099698924.620543,1.346939,4604023025.473629,1.346939,4177360571.375751,1.346939,3807431358.677931
1.387755,24085886811.19472,1.387755,19220373227.70571,1.387755,15758173393.14661,1.387755,13188572969.94843,1.387755,11218189950.32035,1.387755,9668120138.173576,1.387755,8423494010.735401,1.387755,7407270003.562399,1.387755,6565863398.470335,1.387755,5860862808.671212,1.387755,5264034424.148376,1.387755,4754184768.942895,1.387755,4315119300.916831,1.387755,3934272468.114717
1.428571,24629257416.42263,1.428571,19681792752.23612,1.428571,16154304585.35611,1.428571,13532321691.35884,1.428571,11519400478.88753,1.428571,9934336709.79356,1.428571,8660567562.183445,1.428571,7619802002.843299,1.428571,6757522993.419767,1.428571,6034613508.445698,1.428571,5422297776.186849,1.428571,4898960216.040904,1.428571,4448073280.985617,1.428571,4056805628.662046
1.469388,25141050056.50671,1.469388,20118045291.22707,1.469388,16530024773.08946,1.469388,13859249589.18264,1.469388,11806552124.96442,1.469388,10188657576.05165,1.469388,8887467180.841463,1.469388,7823550222.818408,1.469388,6941535459.161854,1.469388,6201656896.805294,1.469388,5574638665.897176,1.469388,5038474518.32038,1.469388,4576327860.940443,1.469388,4175120064.335974
1.510204,25622859339.54118,1.510204,20530298470.28609,1.510204,16886208234.24197,1.510204,14170024757.48346,1.510204,12080164641.20232,1.510204,10431493432.81264,1.510204,9104521825.063953,1.510204,8018781307.400084,1.510204,7118119212.896575,1.510204,6362173566.061349,1.510204,5721207664.025103,1.510204,5172854162.6638,1.510204,4699990019.937327,1.510204,4289306814.249738
1.55102,26076192771.22044,1.55102,20919662610.28825,1.55102,17223690710.31666,1.55102,14465288894.70904,1.55102,12340739446.51554,1.55102,10663242122.37296,1.55102,9312051400.864836,1.55102,8205755530.384956,1.55102,7287488221.842483,1.55102,6516341049.715466,1.55102,5862153300.384753,1.55102,5302224345.602108,1.55102,4819166003.498186,1.55102,4399456598.407481
1.591837,26502491061.16633,1.591837,21287206922.25928,1.591837,17543282558.62182,1.591837,14745668157.31874,1.591837,12588768707.64614,1.591837,10884296323.59335,1.591837,9510373341.605162,1.591837,8384732476.204708,1.591837,7449856946.979661,1.591837,6664338155.130488,1.591837,5997625884.789387,1.591837,5426712361.856551,1.591837,4933964343.787095,1.591837,4505662522.074607
1.632653,26903113834.61858,1.632653,21633945786.00939,1.632653,17845756251.92681,1.632653,15011762023.50812,1.632653,12824725506.63892,1.632653,11095034892.54901,1.632653,9699794976.712549,1.632653,8555964299.136535,1.632653,7605434370.280942,1.632653,6806339652.848916,1.632653,6127772768.049879,1.632653,5546443360.29699,1.632653,5044492045.518905,1.632653,4608016636.501311
1.673469,27279351876.53401,1.673469,21960848122.48329,1.673469,18131853736.65543,1.673469,15264149199.67483,1.673469,13049068672.41464,1.673469,11295826878.63379,1.673469,9880616915.744005,1.673469,8719698608.238285,1.673469,7754426478.978523,1.673469,6942518434.582752,1.673469,6252740230.898821,1.673469,5661542008.502202,1.673469,5150856061.584531,1.673469,4706611254.053458
1.714286,27632428898.97889,1.714286,22268837771.39332,1.714286,18402286110.5798,1.714286,15503386959.69752,1.714286,13262241972.67338,1.714286,11487030670.58596,1.714286,10053132202.07653,1.714286,8876177656.08614,1.714286,7897035502.275983,1.714286,7073044802.806259,1.714286,6372672826.956543,1.714286,5772131887.229486,1.714286,5253162735.968596,1.714286,4801538436.012277
1.755102,27963505011.62632,1.755102,22558795432.67581,1.755102,18657734684.40278,1.755102,15730011691.60711,1.755102,13464674354.97351,1.755102,11668994054.89792,1.755102,10217626262.43127,1.755102,9025638224.508007,1.755102,8033459761.222796,1.755102,7198086302.215158,1.755102,6487713206.692724,1.755102,5878335313.67648,1.755102,5351517630.479518,1.755102,4892889825.249158
1.795918,28273680083.47012,1.795918,22831560596.51427,1.795918,18898852074.69067,1.795918,15944539492.58304,1.795918,13656780240.95934,1.795918,11842054326.57599,1.795918,10374376905.49021,1.795918,9168311555.237656,1.795918,8163893559.17347,1.795918,7317807587.620474,1.795918,6598001974.008365,1.795918,5980273193.933169,1.795918,5446025377.621644,1.795918,4980756502.35113
1.836735,28563996965.51016,1.836735,23087933430.54926,1.836735,19126263299.76999,1.836735,16147466787.79439,1.836735,13838959852.9614,1.836735,12006538434.66497,1.836735,10523654354.67227,1.836735,9304423312.73415,1.836735,8288527101.85941,1.836735,7432370318.770827,1.836735,6703677567.143055,1.836735,6078064897.335943,1.836735,5536789553.164381,1.836735,5065228859.463059
1.877551,28835444561.73507,1.877551,23328676607.95006,1.877551,19340566862.64419,1.877551,16339270958.81358,1.877551,14011599560.60649,1.877551,12162763151.95232,1.877551,10665721306.02321,1.877551,9434193571.415771,1.877551,8407546440.399817,1.877551,7541933076.323037,1.877551,6804876158.869905,1.877551,6171828148.305588,1.877551,5623912564.509944,1.877551,5146396488.386577
1.918367,29088960742.5395,1.918367,23554517065.64033,1.918367,19542335809.43253,1.918367,16520410970.84072,1.918367,14175072237.88273,1.918367,12311035260.55231,1.918367,10800833004.07089,1.918367,9557836821.162689,1.918367,8521133431.959662,1.918367,7646651294.388374,1.918367,6901731572.009513,1.918367,6261678932.208306,1.918367,5707495551.82622,1.918367,5224348080.263626
1.959184,29325435104.98136,1.959184,23766147691.6074,1.959184,19732118760.25669,1.959184,16691327995.14009,1.959184,14329737627.14193,1.959184,12451651750.16029,1.959184,10929237332.80369,1.959184,9675561988.605221,1.959184,8629465715.895697,1.959184,7746677207.77831,1.959184,6994375208.629411,1.959184,6347731413.81211,1.959184,5787638300.691956,1.959184,5299171335.739803
2,29545711582.77321,2,23964228938.7509,2,19910440908.08342,2,16852446021.77889,2,14475942705.34643,2,12584900024.73345,2,11051174918.03421,2,9787572470.946529,2,8732716702.57839,2,7842159811.521151,2,7082935990.829979,2,6430097866.52098,2,5864439164.675523,2,5370952884.23203
