gm_gds (L_var=3.5e-07) X,gm_gds (L_var=3.5e-07) Y,gm_gds (L_var=4e-07) X,gm_gds (L_var=4e-07) Y,gm_gds (L_var=4.5e-07) X,gm_gds (L_var=4.5e-07) Y,gm_gds (L_var=5e-07) X,gm_gds (L_var=5e-07) Y,gm_gds (L_var=5.5e-07) X,gm_gds (L_var=5.5e-07) Y,gm_gds (L_var=6e-07) X,gm_gds (L_var=6e-07) Y,gm_gds (L_var=6.5e-07) X,gm_gds (L_var=6.5e-07) Y,gm_gds (L_var=7e-07) X,gm_gds (L_var=7e-07) Y,gm_gds (L_var=7.5e-07) X,gm_gds (L_var=7.5e-07) Y,gm_gds (L_var=8e-07) X,gm_gds (L_var=8e-07) Y,gm_gds (L_var=8.5e-07) X,gm_gds (L_var=8.5e-07) Y,gm_gds (L_var=9e-07) X,gm_gds (L_var=9e-07) Y,gm_gds (L_var=9.5e-07) X,gm_gds (L_var=9.5e-07) Y,gm_gds (L_var=1e-06) X,gm_gds (L_var=1e-06) Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04081633,0.3365455670509037,0.04081633,0.3436684570415063,0.04081633,0.3432232082127374,0.04081633,0.3396413412102143,0.04081633,0.3351091239214309,0.04081633,0.3305934613136056,0.04081633,0.3264679137218672,0.04081633,0.3228368438914578,0.04081633,0.3196913231350798,0.04081633,0.3169807640012707,0.04081633,0.3146443504422321,0.04081633,0.3126238552888523,0.04081633,0.3108680913874957,0.04081633,0.3093337661834387
0.08163265,1.026830000659511,0.08163265,1.060327691968001,0.08163265,1.062011389293335,0.08163265,1.050013165513315,0.08163265,1.033618320125666,0.08163265,1.01699681748707,0.08163265,1.001778745275007,0.08163265,0.9884369573686979,0.08163265,0.9769576956268059,0.08163265,0.9671480240107878,0.08163265,0.9587698968247711,0.08163265,0.9515944565762892,0.08163265,0.9454207867726317,0.08163265,0.9400795320171567
0.122449,2.721810439026085,0.122449,2.861288550893618,0.122449,2.884832327458569,0.122449,2.855707204520271,0.122449,2.807937018255477,0.122449,2.757340137255734,0.122449,2.710366754519964,0.122449,2.669095124516176,0.122449,2.633718977645059,0.122449,2.603707500301398,0.122449,2.578319489868452,0.122449,2.556816662260132,0.122449,2.53854138787846,0.122449,2.52293582073468
0.1632653,6.819947505240297,0.1632653,7.309494960253873,0.1632653,7.468448471368466,0.1632653,7.463426094698893,0.1632653,7.389502753174958,0.1632653,7.294358011893858,0.1632653,7.199650831470674,0.1632653,7.114018496743587,0.1632653,7.039990534522133,0.1632653,6.97742903400737,0.1632653,6.925166500718792,0.1632653,6.881752051317321,0.1632653,6.845769840126454,0.1632653,6.815958082182512
0.2040816,14.00092046462456,0.2040816,15.28074997473397,0.2040816,15.9380678231864,0.2040816,16.24522557861316,0.2040816,16.37132697667399,0.2040816,16.41131615106232,0.2040816,16.4151498547007,0.2040816,16.40770290329824,0.2040816,16.40055901509758,0.2040816,16.39851969455184,0.2040816,16.40305465840856,0.2040816,16.41408158498758,0.2040816,16.43086254115493,0.2040816,16.45244294681327
0.244898,22.51288839882598,0.244898,25.040509362195,0.244898,26.73659383598504,0.244898,27.89880313261353,0.244898,28.73175052038109,0.244898,29.36506515223932,0.244898,29.87711352292774,0.244898,30.31408781225973,0.244898,30.70292901260326,0.244898,31.05934792426369,0.244898,31.39257428706805,0.244898,31.70810066027531,0.244898,32.00925201398545,0.244898,32.29808370688099
0.2857143,30.39213445314321,0.2857143,34.4312017460385,0.2857143,37.57630037980218,0.2857143,40.07582353839398,0.2857143,42.11802217687005,0.2857143,43.83664576574704,0.2857143,45.32340714791727,0.2857143,46.64032388335819,0.2857143,47.82942588965321,0.2857143,48.91956810897126,0.2857143,49.93093318939157,0.2857143,50.87792879364758,0.2857143,51.77104434944775,0.2857143,52.61805476022952
0.3265306,36.96598979402543,0.3265306,42.56732276168452,0.3265306,47.34061571741969,0.3265306,51.44930919335378,0.3265306,55.02678653101295,0.3265306,58.17922680683058,0.3265306,60.98996913958077,0.3265306,63.52413800423874,0.3265306,65.83275026269946,0.3265306,67.95597279197322,0.3265306,69.92556917713715,0.3265306,71.76671989004807,0.3265306,73.49940040452859,0.3265306,75.13945244667443
0.3673469,42.29290859976636,0.3673469,49.38285481800525,0.3673469,55.80291941618978,0.3673469,61.62464364134109,0.3673469,66.90500216638338,0.3673469,71.69707236436628,0.3673469,76.05353562547818,0.3673469,80.02651061233982,0.3673469,83.66611045215379,0.3673469,87.01889723167596,0.3673469,90.12673876672545,0.3673469,93.02621281616865,0.3673469,95.74851228401739,0.3673469,98.31972209373492
0.4081633,46.61004486940004,0.4081633,55.06270190465661,0.4081633,63.06341103783459,0.4081633,70.60080219465181,0.4081633,77.64778513977075,0.4081633,84.18697912471357,0.4081633,90.22080297864655,0.4081633,95.77146869207385,0.4081633,100.8760701314513,0.4081633,105.580300778614,0.4081633,109.9327903367909,0.4081633,113.9808977485439,0.4081633,117.7680715188588,0.4081633,121.3325236052219
0.4489796,50.14392563456946,0.4489796,59.81927487194944,0.4489796,69.29521392913448,0.4489796,78.49379517291703,0.4489796,87.30602743311944,0.4489796,95.63468483199894,0.4489796,103.4166539663227,0.4489796,110.6284526782844,0.4489796,117.2812254216024,0.4489796,123.4109905603414,0.4489796,129.0682727062111,0.4489796,134.3094118642014,0.4489796,139.1903643563582,0.4489796,143.7629014758539
0.4897959,53.07352437421562,0.4897959,63.83491441636625,0.4897959,74.66566891528035,0.4897959,85.43975099333875,0.4897959,95.97453307203455,0.4897959,106.0902352226162,0.4897959,115.6477940058511,0.4897959,124.5646013618225,0.4897959,132.8133083773997,0.4897959,140.4107596012306,0.4897959,147.4034669343918,0.4897959,153.8539786186496,0.4897959,159.8302656002504,0.4897959,165.3985847148404
0.5306122,55.53368305726719,0.5306122,67.25513511458414,0.5306122,79.3181553977121,0.5306122,91.56636924357527,0.5306122,103.754932704926,0.5306122,115.6237854786905,0.5306122,126.9520777320566,0.5306122,137.5876095395374,0.5306122,147.4532504144401,0.5306122,156.5372339580295,0.5306122,164.8756248876954,0.5306122,172.533724241188,0.5306122,179.5904072864152,0.5306122,186.126863067967
