Vstar (L_var=3.5e-07) X,Vstar (L_var=3.5e-07) Y,Vstar (L_var=4e-07) X,Vstar (L_var=4e-07) Y,Vstar (L_var=4.5e-07) X,Vstar (L_var=4.5e-07) Y,Vstar (L_var=5e-07) X,Vstar (L_var=5e-07) Y,Vstar (L_var=5.5e-07) X,Vstar (L_var=5.5e-07) Y,Vstar (L_var=6e-07) X,Vstar (L_var=6e-07) Y,Vstar (L_var=6.5e-07) X,Vstar (L_var=6.5e-07) Y,Vstar (L_var=7e-07) X,Vstar (L_var=7e-07) Y,Vstar (L_var=7.5e-07) X,Vstar (L_var=7.5e-07) Y,Vstar (L_var=8e-07) X,Vstar (L_var=8e-07) Y,Vstar (L_var=8.5e-07) X,Vstar (L_var=8.5e-07) Y,Vstar (L_var=9e-07) X,Vstar (L_var=9e-07) Y,Vstar (L_var=9.5e-07) X,Vstar (L_var=9.5e-07) Y,Vstar (L_var=1e-06) X,Vstar (L_var=1e-06) Y
0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan
0.04081633,0.06424104106957605,0.04081633,0.06423922163623877,0.04081633,0.06423952719395785,0.04081633,0.06424073813903755,0.04081633,0.0642422981427407,0.04081633,0.06424393889784744,0.04081633,0.06424553228034093,0.04081633,0.06424702175796212,0.04081633,0.06424838753005389,0.04081633,0.06424962812842083,0.04081633,0.06425075065389645,0.04081633,0.06425176566923017,0.04081633,0.06425268460871765,0.04081633,0.06425351853382581
0.08163265,0.06427806208568214,0.08163265,0.06427455632271581,0.08163265,0.06427509148145277,0.08163265,0.06427735104354169,0.08163265,0.06428027765862004,0.08163265,0.06428336125810453,0.08163265,0.0642863581671522,0.08163265,0.06428916072324577,0.08163265,0.06429173102966572,0.08163265,0.06429406600965565,0.08163265,0.06429617887255946,0.08163265,0.06429808942264065,0.08163265,0.06429981914423893,0.08163265,0.0643013888399496
0.122449,0.06434685117101915,0.122449,0.06434063247904186,0.122449,0.06434182759850972,0.122449,0.06434617067277767,0.122449,0.06435171944997083,0.122449,0.0643575384487788,0.122449,0.06436318167571334,0.122449,0.06436845299971362,0.122449,0.06437328442662393,0.122449,0.06437767185514623,0.122449,0.06438164098655942,0.122449,0.06438522949670139,0.122449,0.06438847799968644,0.122449,0.06439142571368775
0.1632653,0.06447513795464489,0.1632653,0.06446428955118909,0.1632653,0.0644669356281955,0.1632653,0.06447527627568048,0.1632653,0.06448577017433627,0.1632653,0.06449671511837887,0.1632653,0.0645073019092449,0.1632653,0.06451717699343405,0.1632653,0.06452622034544953,0.1632653,0.06453442819100826,0.1632653,0.06454185075716228,0.1632653,0.06454855972645429,0.1632653,0.06455463176164261,0.1632653,0.06456014062787965
0.2040816,0.06471398740474012,0.2040816,0.0646949836032036,0.2040816,0.06470050849750313,0.2040816,0.06471632684533472,0.2040816,0.06473598884613653,0.2040816,0.06475640104025775,0.2040816,0.06477609801624136,0.2040816,0.06479444429623024,0.2040816,0.06481122913248448,0.2040816,0.06482645262077957,0.2040816,0.06484021224965184,0.2040816,0.06485264366974397,0.2040816,0.06486389078750343,0.2040816,0.06487409153338196
0.244898,0.06515523664120015,0.244898,0.06512177663692612,0.244898,0.06513266550813451,0.244898,0.06516207778161112,0.244898,0.06519832173485207,0.244898,0.06523580424651346,0.244898,0.06527188869596497,0.244898,0.0653054428384942,0.244898,0.0653361018700179,0.244898,0.06536388003543644,0.244898,0.06538896514286974,0.244898,0.06541161167372059,0.244898,0.0654320870934984,0.244898,0.06545064651251628
0.2857143,0.06595646884381433,0.2857143,0.06589791772112001,0.2857143,0.06591817573574155,0.2857143,0.06597120427521483,0.2857143,0.0660361428496931,0.2857143,0.06610304955718663,0.2857143,0.06616727528643399,0.2857143,0.06622685432175111,0.2857143,0.06628118102414222,0.2857143,0.06633031502601094,0.2857143,0.0663746158140205,0.2857143,0.06641455414224595,0.2857143,0.0664506183038707,0.2857143,0.0664832705908087
0.3265306,0.06736291777195397,0.3265306,0.06726333722753894,0.3265306,0.0672983512661303,0.3265306,0.06738903274363561,0.3265306,0.0674995068755648,0.3265306,0.06761278676297659,0.3265306,0.06772104498924694,0.3265306,0.06782106451757623,0.3265306,0.06791193508931892,0.3265306,0.06799385336093265,0.3265306,0.06806749964428559,0.3265306,0.06813372144677499,0.3265306,0.06819337955564671,0.3265306,0.06824727883147377
0.3673469,0.06967999888801121,0.3673469,0.06952112918761767,0.3673469,0.06957487014838211,0.3673469,0.06971583881365828,0.3673469,0.06988670929658096,0.3673469,0.07006066593626868,0.3673469,0.07022568840284329,0.3673469,0.07037709709886571,0.3673469,0.07051379370977938,0.3673469,0.07063633469144762,0.3673469,0.0707459550166626,0.3673469,0.07084408842699562,0.3673469,0.07093214423930796,0.3673469,0.07101141381409898
