gm_id (L_var=3.5e-07) X,gm_id (L_var=3.5e-07) Y,gm_id (L_var=4e-07) X,gm_id (L_var=4e-07) Y,gm_id (L_var=4.5e-07) X,gm_id (L_var=4.5e-07) Y,gm_id (L_var=5e-07) X,gm_id (L_var=5e-07) Y,gm_id (L_var=5.5e-07) X,gm_id (L_var=5.5e-07) Y,gm_id (L_var=6e-07) X,gm_id (L_var=6e-07) Y,gm_id (L_var=6.5e-07) X,gm_id (L_var=6.5e-07) Y,gm_id (L_var=7e-07) X,gm_id (L_var=7e-07) Y,gm_id (L_var=7.5e-07) X,gm_id (L_var=7.5e-07) Y,gm_id (L_var=8e-07) X,gm_id (L_var=8e-07) Y,gm_id (L_var=8.5e-07) X,gm_id (L_var=8.5e-07) Y,gm_id (L_var=9e-07) X,gm_id (L_var=9e-07) Y,gm_id (L_var=9.5e-07) X,gm_id (L_var=9.5e-07) Y,gm_id (L_var=1e-06) X,gm_id (L_var=1e-06) Y
0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan
0.04081633,31.13274577592705,0.04081633,31.13362754183428,0.04081633,31.13347945356785,0.04081633,31.13289258400734,0.04081633,31.13213658011077,0.04081633,31.13134148234819,0.04081633,31.13056937987263,0.04081633,31.12984766102625,0.04081633,31.1291859124783,0.04081633,31.12858483791441,0.04081633,31.12804099011272,0.04081633,31.12754924582235,0.04081633,31.12710406077951,0.04081633,31.12670007241882
0.08163265,31.11481483891061,0.08163265,31.11651195160663,0.08163265,31.11625287343419,0.08163265,31.11515903393706,0.08163265,31.11374239267615,0.08163265,31.1122499019581,0.08163265,31.11079950741278,0.08163265,31.10944329495403,0.08163265,31.10819957666333,0.08163265,31.10706981418225,0.08163265,31.10604759209986,0.08163265,31.10512330862135,0.08163265,31.10428655349016,0.08163265,31.10352725005881
0.122449,31.08155198899258,0.122449,31.08455610304227,0.122449,31.08397872189636,0.122449,31.08188069451227,0.122449,31.07920063511072,0.122449,31.07639055511376,0.122449,31.07366584325765,0.122449,31.07112112837166,0.122449,31.06878913844617,0.122449,31.06667175694276,0.122449,31.06475649506244,0.122449,31.06302510116027,0.122449,31.06145792124081,0.122449,31.06003598822099
0.1632653,31.01970873496854,0.1632653,31.02492890132392,0.1632653,31.02365546789341,0.1632653,31.01964218731673,0.1632653,31.01459429875818,0.1632653,31.00933119352126,0.1632653,31.00424201300176,0.1632653,30.9994964628341,0.1632653,30.99515188233154,0.1632653,30.99120974746105,0.1632653,30.9876456367043,0.1632653,30.98442488067366,0.1632653,30.9815104729382,0.1632653,30.9788668449139
0.2040816,30.90521972462333,0.2040816,30.91429796576938,0.2040816,30.9116581375428,0.2040816,30.90410252701442,0.2040816,30.894716148595,0.2040816,30.88497766817894,0.2040816,30.8755862308739,0.2040816,30.86684393582122,0.2040816,30.85885002908495,0.2040816,30.85160330613119,0.2040816,30.84505634095513,0.2040816,30.83914373922539,0.2040816,30.83379636525468,0.2040816,30.82894808586058
0.244898,30.69592105103833,0.244898,30.71169282052321,0.244898,30.70655844340068,0.244898,30.69269839281283,0.244898,30.67563622471114,0.244898,30.65801093587178,0.244898,30.64106217786889,0.244898,30.62531870346805,0.244898,30.61094774186062,0.244898,30.59793878386225,0.244898,30.58620052527453,0.244898,30.57561110061303,0.244898,30.56604318829267,0.244898,30.55737577194956
0.2857143,30.32303025099817,0.2857143,30.34997264198848,0.2857143,30.34064546958599,0.2857143,30.31625725152017,0.2857143,30.28644487235213,0.2857143,30.25579021539352,0.2857143,30.22642222068425,0.2857143,30.1992299118325,0.2857143,30.17447741722528,0.2857143,30.15212575450177,0.2857143,30.13200114941433,0.2857143,30.11388129951791,0.2857143,30.09753785667186,0.2857143,30.08275589072026
0.3265306,29.68992534988864,0.3265306,29.7338800368228,0.3265306,29.71841007056816,0.3265306,29.67841974536851,0.3265306,29.62984609186843,0.3265306,29.58020362348324,0.3265306,29.53291698788123,0.3265306,29.48936313852296,0.3265306,29.44990445890794,0.3265306,29.41442352712934,0.3265306,29.38259830979269,0.3265306,29.35404022459523,0.3265306,29.32836021666844,0.3265306,29.30519771987825
0.3673469,28.70264110099046,0.3673469,28.7682323830295,0.3673469,28.74601124996146,0.3673469,28.6878854795931,0.3673469,28.61774463457024,0.3673469,28.54668840600685,0.3673469,28.47960690007311,0.3673469,28.41833611281808,0.3673469,28.36324490257323,0.3673469,28.31403991637398,0.3673469,28.27016752447466,0.3673469,28.23100761697269,0.3673469,28.19596138603229,0.3673469,28.16448641954668
