Istar (L_var=3.5e-07) X,Istar (L_var=3.5e-07) Y,Istar (L_var=4e-07) X,Istar (L_var=4e-07) Y,Istar (L_var=4.5e-07) X,Istar (L_var=4.5e-07) Y,Istar (L_var=5e-07) X,Istar (L_var=5e-07) Y,Istar (L_var=5.5e-07) X,Istar (L_var=5.5e-07) Y,Istar (L_var=6e-07) X,Istar (L_var=6e-07) Y,Istar (L_var=6.5e-07) X,Istar (L_var=6.5e-07) Y,Istar (L_var=7e-07) X,Istar (L_var=7e-07) Y,Istar (L_var=7.5e-07) X,Istar (L_var=7.5e-07) Y,Istar (L_var=8e-07) X,Istar (L_var=8e-07) Y,Istar (L_var=8.5e-07) X,Istar (L_var=8.5e-07) Y,Istar (L_var=9e-07) X,Istar (L_var=9e-07) Y,Istar (L_var=9.5e-07) X,Istar (L_var=9.5e-07) Y,Istar (L_var=1e-06) X,Istar (L_var=1e-06) Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04081633,1.859211656244463e-07,0.04081633,1.542201826292655e-07,0.04081633,1.423822520450404e-07,0.04081633,1.379281181526737e-07,0.04081633,1.362725173209011e-07,0.04081633,1.355013588902285e-07,0.04081633,1.34797877857664e-07,0.04081633,1.338424159643533e-07,0.04081633,1.32545574742776e-07,0.04081633,1.309202965417295e-07,0.04081633,1.290194698191733e-07,0.04081633,1.269062208709403e-07,0.04081633,1.246406839029754e-07,0.04081633,1.222749316366964e-07
0.08163265,7.785569643991968e-07,0.08163265,6.437100417903515e-07,0.08163265,5.926929422355254e-07,0.08163265,5.728436398334616e-07,0.08163265,5.648668774814328e-07,0.08163265,5.607275311809284e-07,0.08163265,5.570002798363567e-07,0.08163265,5.523406503536107e-07,0.08163265,5.463650202303734e-07,0.08163265,5.391159292921844e-07,0.08163265,5.308022851616846e-07,0.08163265,5.216760945060182e-07,0.08163265,5.119777359727347e-07,0.08163265,5.019150460610463e-07
0.122449,2.892048533916311e-06,0.122449,2.385860164816549e-06,0.122449,2.192754072018644e-06,0.122449,2.116106175860606e-06,0.122449,2.084000383077004e-06,0.122449,2.066529256130278e-06,0.122449,2.050943285803542e-06,0.122449,2.032220231558988e-06,0.122449,2.008900058306962e-06,0.122449,1.98110211010409e-06,0.122449,1.949563990040867e-06,0.122449,1.915186282573585e-06,0.122449,1.878830536077845e-06,0.122449,1.841241909714186e-06
0.1632653,1.051803918652594e-05,0.1632653,8.659656700672736e-06,0.1632653,7.94493349961403e-06,0.1632653,7.655925908939074e-06,0.1632653,7.530425848302949e-06,0.1632653,7.459521710348892e-06,0.1632653,7.396777176192582e-06,0.1632653,7.323828335892574e-06,0.1632653,7.235231161396377e-06,0.1632653,7.131269032019634e-06,0.1632653,7.01447509765233e-06,0.1632653,6.887987658000035e-06,0.1632653,6.754820551270954e-06,0.1632653,6.617582900811341e-06
0.2040816,3.790971646047637e-05,0.2040816,3.11535080783329e-05,0.2040816,2.853180940346541e-05,0.2040816,2.74507319882868e-05,0.2040816,2.696400853194205e-05,0.2040816,2.667907916444484e-05,0.2040816,2.642856777000552e-05,0.2040816,2.614602549116244e-05,0.2040816,2.581135852516651e-05,0.2040816,2.542501103359246e-05,0.2040816,2.499552075712532e-05,0.2040816,2.453364707956421e-05,0.2040816,2.404976783777124e-05,0.2040816,2.355287652422657e-05
0.244898,0.0001354562807623723,0.244898,0.0001111337794652812,0.244898,0.0001015944347897046,0.244898,9.757219169776781e-05,0.244898,9.568872270115684e-05,0.244898,9.454437462027272e-05,0.244898,9.354260121682836e-05,0.244898,9.244574346958868e-05,0.244898,9.118051292735055e-05,0.244898,8.974633938138969e-05,0.244898,8.817137194347882e-05,0.244898,8.649178812514697e-05,0.244898,8.4742638971695e-05,0.244898,8.295431803753395e-05
0.2857143,0.0004778668488974055,0.2857143,0.0003915717741934123,0.2857143,0.0003572582456961485,0.2857143,0.0003423919351883882,0.2857143,0.0003351069861310393,0.2857143,0.0003304943290024227,0.2857143,0.0003264637078026056,0.2857143,0.0003221799735209463,0.2857143,0.0003173805126354233,0.2857143,0.0003120552498660837,0.2857143,0.0003062938848022275,0.2857143,0.0003002144261599753,0.2857143,0.0002939317006260916,0.2857143,0.0002875452278384353
0.3265306,0.001650979590222228,0.3265306,0.001351970310707578,0.3265306,0.001230835049231513,0.3265306,0.001176513847409215,0.3265306,0.00114842693428111,0.3265306,0.001129810126695649,0.3265306,0.00111353667708102,0.3265306,0.001096751714614689,0.3265306,0.00107853813173166,0.3265306,0.001058829397458278,0.3265306,0.001037894513534704,0.3265306,0.001016098900313882,0.3265306,0.0009937997537709767,0.3265306,0.000971305970810364
0.3673469,0.005516827529228252,0.3673469,0.004518579586067882,0.3673469,0.004103812956665836,0.3673469,0.003909652902708442,0.3673469,0.003802995990728481,0.3673469,0.003728914126868829,0.3673469,0.00366409197487626,0.3673469,0.003599151788368358,0.3673469,0.003530993948068855,0.3673469,0.003459258185139146,0.3673469,0.003384663446969038,0.3673469,0.003308244652388854,0.3673469,0.003231021567897061,0.3673469,0.00315387281074929
0.4081633,0.01756533485290258,0.4081633,0.01440326303334569,0.4081633,0.0130472126312988,0.4081633,0.01238074734552902,0.4081633,0.01199185930883955,0.4081633,0.01171048071170067,0.4081633,0.01146438522893607,0.4081633,0.01122425617508206,0.4081633,0.01097998026574042,0.4081633,0.01072979105409024,0.4081633,0.01047522698938887,0.4081633,0.01021883431403489,0.4081633,0.009963176447685672,0.4081633,0.009710456515690887
0.4489796,0.05265196597193547,0.4489796,0.04325685727733504,0.4489796,0.03908598361844418,0.4489796,0.03693598721332213,0.4489796,0.03561509509941833,0.4489796,0.0346300138918357,0.4489796,0.03377030905949496,0.4489796,0.03294919410357133,0.4489796,0.03213504554753307,0.4489796,0.03132025841843909,0.4489796,0.03050688403883346,0.4489796,0.02970011514747298,0.4489796,0.02890547198956327,0.4489796,0.02812771290743867
0.4897959,0.1475184384001252,0.4897959,0.1215508454798467,0.4897959,0.1095976201729598,0.4897959,0.1031532372567088,0.4897959,0.0990171252400416,0.4897959,0.09585764736565171,0.4897959,0.09310297807884425,0.4897959,0.09051310761406517,0.4897959,0.08799591188109801,0.4897959,0.08552389530300274,0.4897959,0.08309598004307395,0.4897959,0.08072021348523896,0.4897959,0.07840627563511046,0.4897959,0.07616253049391226
0.5306122,0.380705572424524,0.5306122,0.3152805025147333,0.5306122,0.2837720167716662,0.5306122,0.2658977077950246,0.5306122,0.2538866328668072,0.5306122,0.2444809498194387,0.5306122,0.236271239026673,0.5306122,0.228654726498678,0.5306122,0.2213872548866139,0.5306122,0.2143816115886132,0.5306122,0.2076156587649377,0.5306122,0.2010910170476298,0.5306122,0.1948151998181804,0.5306122,0.1887945178389592
0.5714286,0.879291510118688,0.5714286,0.7338186374741017,0.5714286,0.6594669195897649,0.5714286,0.6146711286244707,0.5714286,0.5830886982339889,0.5714286,0.5577774284169219,0.5714286,0.5356889147403483,0.5714286,0.5154762181316416,0.5714286,0.4965492612708269,0.5714286,0.4786521200957243,0.5714286,0.4616718461924442,0.5714286,0.4455527938874926,0.5714286,0.4302593336178849,0.5714286,0.4157605755775038
0.6122449,1.778957684086755,0.6122449,1.498157789868187,0.6122449,1.344806295837401,0.6122449,1.246753619566917,0.6122449,1.17474036807333,0.6122449,1.116066909938633,0.6122449,1.064997884270831,0.6122449,1.018865135598222,0.6122449,0.976380635628439,0.6122449,0.9368820364516178,0.6122449,0.899990961482393,0.6122449,0.865458230853253,0.6122449,0.8330944361907178,0.6122449,0.8027393991119691
0.6530612,3.162496775180054,0.6530612,2.686619270017385,0.6530612,2.410124894047256,0.6530612,2.224347721554803,0.6530612,2.083770089956113,0.6530612,1.968065077501948,0.6530612,1.867695753124929,0.6530612,1.777952123178952,0.6530612,1.696346673201392,0.6530612,1.621441210874458,0.6530612,1.552308659642703,0.6530612,1.488282943556478,0.6530612,1.42884123026788,0.6530612,1.373547425434362
0.6938776,5.042086452898388,0.6938776,4.315581965251119,0.6938776,3.871055295583629,0.6938776,3.560882347323743,0.6938776,3.321267872861911,0.6938776,3.122813055104777,0.6938776,2.951149269514504,0.6938776,2.798772740914979,0.6938776,2.661434050694787,0.6938776,2.536489736146292,0.6938776,2.422130458381849,0.6938776,2.317010310380426,0.6938776,2.220063075741638,0.6938776,2.130407129112133
