id (L_var=3.5e-07) X,id (L_var=3.5e-07) Y,id (L_var=4.5e-07) X,id (L_var=4.5e-07) Y,id (L_var=5.5e-07) X,id (L_var=5.5e-07) Y,id (L_var=6.5e-07) X,id (L_var=6.5e-07) Y,id (L_var=7.5e-07) X,id (L_var=7.5e-07) Y,id (L_var=8.5e-07) X,id (L_var=8.5e-07) Y,id (L_var=9.5e-07) X,id (L_var=9.5e-07) Y,id (L_var=1.05e-06) X,id (L_var=1.05e-06) Y,id (L_var=1.15e-06) X,id (L_var=1.15e-06) Y,id (L_var=1.25e-06) X,id (L_var=1.25e-06) Y,id (L_var=1.35e-06) X,id (L_var=1.35e-06) Y,id (L_var=1.45e-06) X,id (L_var=1.45e-06) Y,id (L_var=1.55e-06) X,id (L_var=1.55e-06) Y,id (L_var=1.65e-06) X,id (L_var=1.65e-06) Y,id (L_var=1.75e-06) X,id (L_var=1.75e-06) Y,id (L_var=1.85e-06) X,id (L_var=1.85e-06) Y,id (L_var=1.95e-06) X,id (L_var=1.95e-06) Y,id (L_var=2.05e-06) X,id (L_var=2.05e-06) Y,id (L_var=2.15e-06) X,id (L_var=2.15e-06) Y,id (L_var=2.25e-06) X,id (L_var=2.25e-06) Y,id (L_var=2.35e-06) X,id (L_var=2.35e-06) Y,id (L_var=2.45e-06) X,id (L_var=2.45e-06) Y,id (L_var=2.55e-06) X,id (L_var=2.55e-06) Y,id (L_var=2.65e-06) X,id (L_var=2.65e-06) Y,id (L_var=2.75e-06) X,id (L_var=2.75e-06) Y,id (L_var=2.85e-06) X,id (L_var=2.85e-06) Y,id (L_var=2.95e-06) X,id (L_var=2.95e-06) Y,id (L_var=3.05e-06) X,id (L_var=3.05e-06) Y,id (L_var=3.15e-06) X,id (L_var=3.15e-06) Y,id (L_var=3.25e-06) X,id (L_var=3.25e-06) Y,id (L_var=3.35e-06) X,id (L_var=3.35e-06) Y,id (L_var=3.45e-06) X,id (L_var=3.45e-06) Y,id (L_var=3.55e-06) X,id (L_var=3.55e-06) Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04081633,7.099146872013295e-13,0.04081633,6.005934299719029e-13,0.04081633,6.283883200790926e-13,0.04081633,6.726682574857772e-13,0.04081633,7.092451525569371e-13,0.04081633,7.34297874464036e-13,0.04081633,7.491478473443244e-13,0.04081633,7.560216290403563e-13,0.04081633,7.569299419326918e-13,0.04081633,7.534631792561332e-13,0.04081633,7.468276932442358e-13,0.04081633,7.379263917256883e-13,0.04081633,7.274328803703079e-13,0.04081633,7.158498145228233e-13,0.04081633,7.035526789465289e-13,0.04081633,6.908221503649606e-13,0.04081633,6.778679568869379e-13,0.04081633,6.648465081404743e-13,0.04081633,6.518739784346121e-13,0.04081633,6.390360652018308e-13,0.04081633,6.263953064333447e-13,0.04081633,6.139965966342063e-13,0.04081633,6.018713657886606e-13,0.04081633,5.900407603533123e-13,0.04081633,5.785180750980105e-13,0.04081633,5.673106194710004e-13,0.04081633,5.564211548834506e-13,0.04081633,5.458490047816739e-13,0.04081633,5.355909140214457e-13,0.04081633,5.256417153312472e-13,0.04081633,5.159948467342241e-13,0.04081633,5.066427534015943e-13,0.04081633,4.975771995978321e-13
0.08163265,2.974422290527481e-12,0.08163265,2.501335337949728e-12,0.08163265,2.606065942201726e-12,0.08163265,2.780962014023844e-12,0.08163265,2.925063601942499e-12,0.08163265,3.02251264889918e-12,0.08163265,3.078736302026059e-12,0.08163265,3.102853793613901e-12,0.08163265,3.103068678777088e-12,0.08163265,3.085845530835596e-12,0.08163265,3.056070376246608e-12,0.08163265,3.017387412971201e-12,0.08163265,2.972505811311673e-12,0.08163265,2.923439901396616e-12,0.08163265,2.871688674462579e-12,0.08163265,2.818368037388791e-12,0.08163265,2.764308032759491e-12,0.08163265,2.71012448218268e-12,0.08163265,2.656272016150102e-12,0.08163265,2.603083530496107e-12,0.08163265,2.550799702075531e-12,0.08163265,2.499591185278977e-12,0.08163265,2.44957538867003e-12,0.08163265,2.400829214771177e-12,0.08163265,2.353398775816581e-12,0.08163265,2.307306831594584e-12,0.08163265,2.262558502323235e-12,0.08163265,2.219145668742824e-12,0.08163265,2.177050368449317e-12,0.08163265,2.136247421429142e-12,0.08163265,2.096706461335197e-12,0.08163265,2.058393506967383e-12,0.08163265,2.021272176855003e-12
0.122449,1.105822767341885e-11,0.122449,9.261275354746454e-12,0.122449,9.622323507910621e-12,0.122449,1.024802649975444e-11,0.122449,1.076357532103869e-11,0.122449,1.110997106874418e-11,0.122449,1.130681751386094e-11,0.122449,1.138732853876616e-11,0.122449,1.138138285204089e-11,0.122449,1.131250719839649e-11,0.122449,1.119846552720489e-11,0.122449,1.105249138825012e-11,0.122449,1.08844097020065e-11,0.122449,1.070151441730758e-11,0.122449,1.050922406206149e-11,0.122449,1.031156446320752e-11,0.122449,1.011152335367942e-11,0.122449,9.911311486686385e-12,0.122449,9.712555743630286e-12,0.122449,9.516442679622226e-12,0.122449,9.323825796237322e-12,0.122449,9.135306128298613e-12,0.122449,8.951293086153228e-12,0.122449,8.772050604781862e-12,0.122449,8.597732296260052e-12,0.122449,8.428408326557411e-12,0.122449,8.264086031577026e-12,0.122449,8.104725773127804e-12,0.122449,7.950253158995881e-12,0.122449,7.800568473855054e-12,0.122449,7.655553962137795e-12,0.122449,7.515079450742186e-12,0.122449,7.379006684606272e-12
0.1632653,4.028159197100455e-11,0.1632653,3.3605298433952e-11,0.1632653,3.48211498114314e-11,0.1632653,3.701481178227948e-11,0.1632653,3.882334155715856e-11,0.1632653,4.003139595310397e-11,0.1632653,4.070795295525821e-11,0.1632653,4.097127227104605e-11,0.1632653,4.092785367113169e-11,0.1632653,4.066156119589984e-11,0.1632653,4.023569759781131e-11,0.1632653,3.969739347088657e-11,0.1632653,3.908160926240535e-11,0.1632653,3.841426957623048e-11,0.1632653,3.771460587224594e-11,0.1632653,3.699688213531484e-11,0.1632653,3.627166259961573e-11,0.1632653,3.554674501260855e-11,0.1632653,3.482785051469443e-11,0.1632653,3.411913613080847e-11,0.1632653,3.342357746512291e-11,0.1632653,3.274325594290407e-11,0.1632653,3.207957546820728e-11,0.1632653,3.143342659055287e-11,0.1632653,3.080531141594525e-11,0.1632653,3.019543899951192e-11,0.1632653,2.960379842576141e-11,0.1632653,2.90302149398454e-11,0.1632653,2.847439314465042e-11,0.1632653,2.793595028533734e-11,0.1632653,2.741444190755957e-11,0.1632653,2.690938162764148e-11,0.1632653,2.642025634275311e-11
0.2040816,1.456206486391231e-10,0.2040816,1.210159598058007e-10,0.2040816,1.250283179247537e-10,0.2040816,1.326210460340394e-10,0.2040816,1.388821714079935e-10,0.2040816,1.430335962442116e-10,0.2040816,1.453157055627375e-10,0.2040816,1.461454012776388e-10,0.2040816,1.458985170289513e-10,0.2040816,1.448710424690951e-10,0.2040816,1.43286340901973e-10,0.2040816,1.413106089052659e-10,0.2040816,1.390670045779285e-10,0.2040816,1.366467298461678e-10,0.2040816,1.341173230969741e-10,0.2040816,1.31528771637319e-10,0.2040816,1.289180029652402e-10,0.2040816,1.263121904829616e-10,0.2040816,1.237311958803898e-10,0.2040816,1.211893821522657e-10,0.2040816,1.186969661763212e-10,0.2040816,1.162610328370939e-10,0.2040816,1.138862990404799e-10,0.2040816,1.115756918828103e-10,0.2040816,1.093307879629442e-10,0.2040816,1.071521483858323e-10,0.2040816,1.050395750052085e-10,0.2040816,1.029923069047469e-10,0.2040816,1.010091713267067e-10,0.2040816,9.9088699732268e-11,0.2040816,9.722921706930577e-11,0.2040816,9.542891038191445e-11,0.2040816,9.368588144336045e-11
0.244898,5.232143593333583e-10,0.244898,4.331080677764521e-10,0.244898,4.459620920199132e-10,0.244898,4.718063341116631e-10,0.244898,4.930911568832683e-10,0.244898,5.070403770259649e-10,0.244898,5.144894245815036e-10,0.244898,5.168963360020117e-10,0.244898,5.155751623455433e-10,0.244898,5.115601060095019e-10,0.244898,5.056308828066944e-10,0.244898,4.983668858774164e-10,0.244898,4.901967078557726e-10,0.244898,4.814370218700613e-10,0.244898,4.723216961087468e-10,0.244898,4.630232597027883e-10,0.244898,4.536686716481149e-10,0.244898,4.443509194130132e-10,0.244898,4.351375795821305e-10,0.244898,4.260771642247915e-10,0.244898,4.172038483068279e-10,0.244898,4.085410081712782e-10,0.244898,4.00103882458153e-10,0.244898,3.919015818214048e-10,0.244898,3.839386128034955e-10,0.244898,3.762160373155054e-10,0.244898,3.68732357420105e-10,0.244898,3.614841920341052e-10,0.244898,3.544667953022929e-10,0.244898,3.476744539992391e-10,0.244898,3.411007921521733e-10,0.244898,3.347390042703368e-10,0.244898,3.285820334753262e-10
0.2857143,1.864413895028892e-09,0.2857143,1.537124370488012e-09,0.2857143,1.57616363723702e-09,0.2857143,1.661701875702994e-09,0.2857143,1.731829401012731e-09,0.2857143,1.776841000095264e-09,0.2857143,1.799645141718583e-09,0.2857143,1.805289637360671e-09,0.2857143,1.798308732762074e-09,0.2857143,1.782261613238263e-09,0.2857143,1.759824590882474e-09,0.2857143,1.732980453691307e-09,0.2857143,1.703190787936168e-09,0.2857143,1.671531080814684e-09,0.2857143,1.638791797950382e-09,0.2857143,1.605552826084282e-09,0.2857143,1.572238077652194e-09,0.2857143,1.539155578370013e-09,0.2857143,1.50652698863775e-09,0.2857143,1.474509433923017e-09,0.2857143,1.443211721669453e-09,0.2857143,1.412706444176048e-09,0.2857143,1.383039051732185e-09,0.2857143,1.354234682932581e-09,0.2857143,1.32630332593611e-09,0.2857143,1.299243731180126e-09,0.2857143,1.273046385435654e-09,0.2857143,1.24769577682292e-09,0.2857143,1.223172121873964e-09,0.2857143,1.199452682793792e-09,0.2857143,1.17651277140706e-09,0.2857143,1.154326512795239e-09,0.2857143,1.13286742411194e-09
0.3265306,6.554547362097123e-09,0.3265306,5.381120064542424e-09,0.3265306,5.487514549157244e-09,0.3265306,5.756890846908642e-09,0.3265306,5.975357623753172e-09,0.3265306,6.110089735173005e-09,0.3265306,6.171225364470489e-09,0.3265306,6.175937362204253e-09,0.3265306,6.139520600749242e-09,0.3265306,6.073906668430239e-09,0.3265306,5.988016053762222e-09,0.3265306,5.888418009129549e-09,0.3265306,5.77992298334747e-09,0.3265306,5.666044378053167e-09,0.3265306,5.549342626069441e-09,0.3265306,5.431677667199916e-09,0.3265306,5.314393432040476e-09,0.3265306,5.19845272441576e-09,0.3265306,5.084536118255993e-09,0.3265306,4.973114752732254e-09,0.3265306,4.864504148010852e-09,0.3265306,4.758904166439827e-09,0.3265306,4.656428812656269e-09,0.3265306,4.5571285436624e-09,0.3265306,4.46100702916825e-09,0.3265306,4.368033778839876e-09,0.3265306,4.278153676364506e-09,0.3265306,4.191294187892976e-09,0.3265306,4.107370814488322e-09,0.3265306,4.026291213579756e-09,0.3265306,3.947958308122435e-09,0.3265306,3.872272623614332e-09,0.3265306,3.79913403475711e-09
0.3673469,2.252924195733069e-08,0.3673469,1.841209171800952e-08,0.3673469,1.863531034936846e-08,0.3673469,1.941258383933043e-08,0.3673469,2.002932517618863e-08,0.3673469,2.037975341544427e-08,0.3673469,2.049867801968021e-08,0.3673469,2.044254221071458e-08,0.3673469,2.026086156633076e-08,0.3673469,1.999183505633858e-08,0.3673469,1.966373041867362e-08,0.3673469,1.929714739962338e-08,0.3673469,1.890700051397378e-08,0.3673469,1.850404619128058e-08,0.3673469,1.809601115520718e-08,0.3673469,1.768841428376529e-08,0.3673469,1.728516284550216e-08,0.3673469,1.688898528783988e-08,0.3673469,1.650174622683648e-08,0.3673469,1.61246765507967e-08,0.3673469,1.575854220548373e-08,0.3673469,1.54037685144713e-08,0.3673469,1.506053210664479e-08,0.3673469,1.472882912753378e-08,0.3673469,1.440852599875005e-08,0.3673469,1.409939727117575e-08,0.3673469,1.380115388833674e-08,0.3673469,1.351346429281934e-08,0.3673469,1.323597017020187e-08,0.3673469,1.296829816103055e-08,0.3673469,1.271006853238684e-08,0.3673469,1.246090155144251e-08,0.3673469,1.222042211930517e-08
