gm_gds (L_var=3.5e-07) X,gm_gds (L_var=3.5e-07) Y,gm_gds (L_var=4.5e-07) X,gm_gds (L_var=4.5e-07) Y,gm_gds (L_var=5.5e-07) X,gm_gds (L_var=5.5e-07) Y,gm_gds (L_var=6.5e-07) X,gm_gds (L_var=6.5e-07) Y,gm_gds (L_var=7.5e-07) X,gm_gds (L_var=7.5e-07) Y,gm_gds (L_var=8.5e-07) X,gm_gds (L_var=8.5e-07) Y,gm_gds (L_var=9.5e-07) X,gm_gds (L_var=9.5e-07) Y,gm_gds (L_var=1.05e-06) X,gm_gds (L_var=1.05e-06) Y,gm_gds (L_var=1.15e-06) X,gm_gds (L_var=1.15e-06) Y,gm_gds (L_var=1.25e-06) X,gm_gds (L_var=1.25e-06) Y,gm_gds (L_var=1.35e-06) X,gm_gds (L_var=1.35e-06) Y,gm_gds (L_var=1.45e-06) X,gm_gds (L_var=1.45e-06) Y,gm_gds (L_var=1.55e-06) X,gm_gds (L_var=1.55e-06) Y,gm_gds (L_var=1.65e-06) X,gm_gds (L_var=1.65e-06) Y,gm_gds (L_var=1.75e-06) X,gm_gds (L_var=1.75e-06) Y,gm_gds (L_var=1.85e-06) X,gm_gds (L_var=1.85e-06) Y,gm_gds (L_var=1.95e-06) X,gm_gds (L_var=1.95e-06) Y,gm_gds (L_var=2.05e-06) X,gm_gds (L_var=2.05e-06) Y,gm_gds (L_var=2.15e-06) X,gm_gds (L_var=2.15e-06) Y,gm_gds (L_var=2.25e-06) X,gm_gds (L_var=2.25e-06) Y,gm_gds (L_var=2.35e-06) X,gm_gds (L_var=2.35e-06) Y,gm_gds (L_var=2.45e-06) X,gm_gds (L_var=2.45e-06) Y,gm_gds (L_var=2.55e-06) X,gm_gds (L_var=2.55e-06) Y,gm_gds (L_var=2.65e-06) X,gm_gds (L_var=2.65e-06) Y,gm_gds (L_var=2.75e-06) X,gm_gds (L_var=2.75e-06) Y,gm_gds (L_var=2.85e-06) X,gm_gds (L_var=2.85e-06) Y,gm_gds (L_var=2.95e-06) X,gm_gds (L_var=2.95e-06) Y,gm_gds (L_var=3.05e-06) X,gm_gds (L_var=3.05e-06) Y,gm_gds (L_var=3.15e-06) X,gm_gds (L_var=3.15e-06) Y,gm_gds (L_var=3.25e-06) X,gm_gds (L_var=3.25e-06) Y,gm_gds (L_var=3.35e-06) X,gm_gds (L_var=3.35e-06) Y,gm_gds (L_var=3.45e-06) X,gm_gds (L_var=3.45e-06) Y,gm_gds (L_var=3.55e-06) X,gm_gds (L_var=3.55e-06) Y
0,0,0,0,0,0,0,7.579725422007839e-17,0,0,0,0,0,7.592866154527191e-17,0,0,0,0,0,7.587503992765286e-17,0,7.584935841125419e-17,0,7.582320567864408e-17,0,0,0,0,0,0,0,0,0,7.570416023979426e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04081633,0.4834305178854943,0.04081633,0.4830599150242375,0.04081633,0.4593771138703675,0.04081633,0.4369384846024254,0.04081633,0.4192073987347468,0.04081633,0.4054992002837919,0.04081633,0.3947553239996958,0.04081633,0.3861582407232183,0.04081633,0.3791391160311087,0.04081633,0.3733059251302047,0.04081633,0.3683840513716353,0.04081633,0.3641766855171912,0.04081633,0.3605395076247623,0.04081633,0.3573644307639909,0.04081633,0.3545689625856149,0.04081633,0.3520890816780518,0.04081633,0.349874357265973,0.04081633,0.3478845337109547,0.04081633,0.3460870931876205,0.04081633,0.3444554854591148,0.04081633,0.3429678214775346,0.04081633,0.3416058952107092,0.04081633,0.3403544415032037,0.04081633,0.3392005661862862,0.04081633,0.3381333035920812,0.04081633,0.3371432694757336,0.04081633,0.3362223862043747,0.04081633,0.3353636632650041,0.04081633,0.3345610205342686,0.04081633,0.3338091449053879,0.04081633,0.3331033731572929,0.04081633,0.332439595632866,0.04081633,0.3318141765407564
0.08163265,1.703575080703792,0.08163265,1.720622871442566,0.08163265,1.612523221395982,0.08163265,1.508938842904677,0.08163265,1.428246538862191,0.08163265,1.366880933897771,0.08163265,1.319491865842408,0.08163265,1.282047735072946,0.08163265,1.251801255544677,0.08163265,1.226892475700527,0.08163265,1.206038310159133,0.08163265,1.188331384815994,0.08163265,1.173114046496702,0.08163265,1.159898800881522,0.08163265,1.148316979994247,0.08163265,1.138084795534526,0.08163265,1.128980340022221,0.08163265,1.120827651567057,0.08163265,1.113485445322068,0.08163265,1.106838996714251,0.08163265,1.100794196664639,0.08163265,1.095273131323468,0.08163265,1.090210749897772,0.08163265,1.085552321022538,0.08163265,1.081251468628336,0.08163265,1.077268639176085,0.08163265,1.073569893809314,0.08163265,1.070125947929903,0.08163265,1.066911401101553,0.08163265,1.063904114742856,0.08163265,1.061084705587931,0.08163265,1.058436130575052,0.08163265,1.055943344494781
0.122449,5.249892566037781,0.122449,5.426865371532198,0.122449,5.071259088583635,0.122449,4.701846023478324,0.122449,4.407727331991772,0.122449,4.182523840753803,0.122449,4.008382038304612,0.122449,3.87090947554002,0.122449,3.760065203200838,0.122449,3.668981301337542,0.122449,3.592897752512606,0.122449,3.528441932466944,0.122449,3.473168445159112,0.122449,3.425265493585212,0.122449,3.383364297237527,0.122449,3.346412616974671,0.122449,3.313588901216825,0.122449,3.284242745654491,0.122449,3.257852780574821,0.122449,3.233996345524936,0.122449,3.212327292776679,0.122449,3.192559497350422,0.122449,3.174454439059346,0.122449,3.157811734033495,0.122449,3.142461832225708,0.122449,3.128260325826353,0.122449,3.115083469866603,0.122449,3.102824624930973,0.122449,3.091391408412591,0.122449,3.080703395336247,0.122449,3.070690249183922,0.122449,3.061290191930683,0.122449,3.052448743724647
0.1632653,13.11212756711067,0.1632653,14.12700243124926,0.1632653,13.6600077271461,0.1632653,12.95742050562163,0.1632653,12.33050565533938,0.1632653,11.82059998701332,0.1632653,11.41098977531814,0.1632653,11.07898455870308,0.1632653,10.80604841825279,0.1632653,10.57841507416324,0.1632653,10.38602693836337,0.1632653,10.22148555797754,0.1632653,10.0792723122078,0.1632653,9.955206453798658,0.1632653,9.846072305432012,0.1632653,9.74936101444286,0.1632653,9.663089309233268,0.1632653,9.585670401407873,0.1632653,9.515820654315453,0.1632653,9.452491137799152,0.1632653,9.394816751019848,0.1632653,9.342077922308572,0.1632653,9.293671434024159,0.1632653,9.249087951973339,0.1632653,9.207894539889587,0.1632653,9.169720922085901,0.1632653,9.134248593963752,0.1632653,9.101202117702204,0.1632653,9.070342110177501,0.1632653,9.041459552755455,0.1632653,9.014371142087471,0.1632653,8.988915466993705,0.1632653,8.964949845627128
0.2040816,23.79715970579313,0.2040816,27.05567308445879,0.2040816,27.66765622871434,0.2040816,27.43098649415588,0.2040816,26.99496866547164,0.2040816,26.55701270686522,0.2040816,26.16744217455743,0.2040816,25.83270055679061,0.2040816,25.54733641336145,0.2040816,25.30361725086656,0.2040816,25.09429075802735,0.2040816,24.91323765273598,0.2040816,24.75548385661184,0.2040816,24.61703839769849,0.2040816,24.49470669077895,0.2040816,24.38592439482012,0.2040816,24.28862176352009,0.2040816,24.20111683511441,0.2040816,24.1220326384072,0.2040816,24.05023336567992,0.2040816,23.98477516119603,0.2040816,23.92486805006434,0.2040816,23.86984632954302,0.2040816,23.81914539459524,0.2040816,23.77228347339632,0.2040816,23.72884712925813,0.2040816,23.68847966973017,0.2040816,23.65087181472743,0.2040816,23.61575413229432,0.2040816,23.58289086710711,0.2040816,23.55207487388657,0.2040816,23.5231234332335,0.2040816,23.49587477675076
0.244898,33.9484912257822,0.244898,40.67425156370173,0.244898,43.94786731353414,0.244898,45.57603710046808,0.244898,46.45591644786874,0.244898,46.98993925114927,0.244898,47.35685172043129,0.244898,47.63846884051722,0.244898,47.87353662683317,0.244898,48.08089446501484,0.244898,48.2698989062085,0.244898,48.44531624930188,0.244898,48.60968112002151,0.244898,48.76444660777499,0.244898,48.91054472812214,0.244898,49.04865660731215,0.244898,49.1793400620009,0.244898,49.30308791067657,0.244898,49.42035335453821,0.244898,49.53156025314561,0.244898,49.63710687754326,0.244898,49.73736714772572,0.244898,49.83269113122576,0.244898,49.92340551875627,0.244898,50.00981430894159,0.244898,50.09219972834771,0.244898,50.17082333741449,0.244898,50.24592725516492,0.244898,50.31773544101959,0.244898,50.38645498495302,0.244898,50.45227737062525,0.244898,50.51537968784406,0.244898,50.57592577965996
0.2857143,42.15840328711771,0.2857143,52.80179434939581,0.2857143,59.77782220183765,0.2857143,64.43108018582311,0.2857143,67.68175230473874,0.2857143,70.09581842103815,0.2857143,72.00325261970134,0.2857143,73.59302132331322,0.2857143,74.9730996842985,0.2857143,76.20574206769696,0.2857143,77.32763531650791,0.2857143,78.36121792829486,0.2857143,79.32095786473546,0.2857143,80.21680446078284,0.2857143,81.05607839199315,0.2857143,81.84450741894402,0.2857143,82.58679844461901,0.2857143,83.2869589961164,0.2857143,83.94848342780344,0.2857143,84.57446581469384,0.2857143,85.16767268504661,0.2857143,85.73059327882594,0.2857143,86.2654767740334,0.2857143,86.77436154976557,0.2857143,87.25909924492606,0.2857143,87.72137515322711,0.2857143,88.16272585366445,0.2857143,88.58455463325146,0.2857143,88.98814507500185,0.2857143,89.37467308087427,0.2857143,89.74521753876148,0.2857143,90.10076980403551,0.2857143,90.44224213954243
0.3265306,48.50266912773318,0.3265306,62.96593324398173,0.3265306,74.07726695680924,0.3265306,82.44972642955408,0.3265306,88.78086461086365,0.3265306,93.7045080762541,0.3265306,97.6951395198858,0.3265306,101.0702345281534,0.3265306,104.0294013997138,0.3265306,106.6944905816103,0.3265306,109.1395163139369,0.3265306,111.4101703662586,0.3265306,113.535685450667,0.3265306,115.5357671266549,0.3265306,117.4245527847167,0.3265306,119.2128454873526,0.3265306,120.9093696873993,0.3265306,122.5214804167655,0.3265306,124.0555698213656,0.3265306,125.517306804525,0.3265306,126.9117845592589,0.3265306,128.2436168658827,0.3265306,129.5170053859839,0.3265306,130.7357900190985,0.3265306,131.9034888857054,0.3265306,133.0233315412346,0.3265306,134.0982874400477,0.3265306,135.1310908199873,0.3265306,136.1242627252992,0.3265306,137.0801306384955,0.3265306,138.0008460566944,0.3265306,138.8884002690104,0.3265306,139.7446385433767
0.3673469,53.41224989234428,0.3673469,71.36441761944494,0.3673469,86.66771914799432,0.3673469,99.10350196266721,0.3673469,108.935113210404,0.3673469,116.74293547609,0.3673469,123.1176212652282,0.3673469,128.5183347683444,0.3673469,133.2578979782141,0.3673469,137.5355260581416,0.3673469,141.4743853236445,0.3673469,145.1503996769443,0.3673469,148.6112774420401,0.3673469,151.8881869804827,0.3673469,155.0026373725299,0.3673469,157.9704404648428,0.3673469,160.8039636235439,0.3673469,163.5134046754728,0.3673469,166.107515887451,0.3673469,168.5940205329548,0.3673469,170.9798588902765,0.3673469,173.2713397026125,0.3673469,175.4742389780723,0.3673469,177.5938690496326,0.3673469,179.6351303855885,0.3673469,181.602552954333,0.3673469,183.5003308643976,0.3673469,185.3323523442745,0.3673469,187.1022262378496,0.3673469,188.8133057171298,0.3673469,190.4687096598267,0.3673469,192.0713420018992,0.3673469,193.6239092981162
0.4081633,57.27581619260129,0.4081633,78.32359556775793,0.4081633,97.67793806861748,0.4081633,114.3002121663895,0.4081633,127.8611436509969,0.4081633,138.7600928192311,0.4081633,147.6594360480214,0.4081633,155.1645666698277,0.4081633,161.7206724896988,0.4081633,167.6224137924818,0.4081633,173.055075464626,0.4081633,178.1330252056543,0.4081633,182.9272553004731,0.4081633,187.4830199660633,0.4081633,191.8304993047102,0.4081633,195.9910417796693,0.4081633,199.9807504696472,0.4081633,203.8125226858506,0.4081633,207.4972065742048,0.4081633,211.0442601382578,0.4081633,214.4621323090486,0.4081633,217.7584895223343,0.4081633,220.9403564921134,0.4081633,224.0142090856615,0.4081633,226.9860400845025,0.4081633,229.86140917983,0.4081633,232.6454833892259,0.4081633,235.3430712818437,0.4081633,237.9586528874512,0.4081633,240.4964063555502,0.4081633,242.9602319983143,0.4081633,245.3537741195786,0.4081633,247.6804409072502
