gm_id (L_var=3.5e-07) X,gm_id (L_var=3.5e-07) Y,gm_id (L_var=4.5e-07) X,gm_id (L_var=4.5e-07) Y,gm_id (L_var=5.5e-07) X,gm_id (L_var=5.5e-07) Y,gm_id (L_var=6.5e-07) X,gm_id (L_var=6.5e-07) Y,gm_id (L_var=7.5e-07) X,gm_id (L_var=7.5e-07) Y,gm_id (L_var=8.5e-07) X,gm_id (L_var=8.5e-07) Y,gm_id (L_var=9.5e-07) X,gm_id (L_var=9.5e-07) Y,gm_id (L_var=1.05e-06) X,gm_id (L_var=1.05e-06) Y,gm_id (L_var=1.15e-06) X,gm_id (L_var=1.15e-06) Y,gm_id (L_var=1.25e-06) X,gm_id (L_var=1.25e-06) Y,gm_id (L_var=1.35e-06) X,gm_id (L_var=1.35e-06) Y,gm_id (L_var=1.45e-06) X,gm_id (L_var=1.45e-06) Y,gm_id (L_var=1.55e-06) X,gm_id (L_var=1.55e-06) Y,gm_id (L_var=1.65e-06) X,gm_id (L_var=1.65e-06) Y,gm_id (L_var=1.75e-06) X,gm_id (L_var=1.75e-06) Y,gm_id (L_var=1.85e-06) X,gm_id (L_var=1.85e-06) Y,gm_id (L_var=1.95e-06) X,gm_id (L_var=1.95e-06) Y,gm_id (L_var=2.05e-06) X,gm_id (L_var=2.05e-06) Y,gm_id (L_var=2.15e-06) X,gm_id (L_var=2.15e-06) Y,gm_id (L_var=2.25e-06) X,gm_id (L_var=2.25e-06) Y,gm_id (L_var=2.35e-06) X,gm_id (L_var=2.35e-06) Y,gm_id (L_var=2.45e-06) X,gm_id (L_var=2.45e-06) Y,gm_id (L_var=2.55e-06) X,gm_id (L_var=2.55e-06) Y,gm_id (L_var=2.65e-06) X,gm_id (L_var=2.65e-06) Y,gm_id (L_var=2.75e-06) X,gm_id (L_var=2.75e-06) Y,gm_id (L_var=2.85e-06) X,gm_id (L_var=2.85e-06) Y,gm_id (L_var=2.95e-06) X,gm_id (L_var=2.95e-06) Y,gm_id (L_var=3.05e-06) X,gm_id (L_var=3.05e-06) Y,gm_id (L_var=3.15e-06) X,gm_id (L_var=3.15e-06) Y,gm_id (L_var=3.25e-06) X,gm_id (L_var=3.25e-06) Y,gm_id (L_var=3.35e-06) X,gm_id (L_var=3.35e-06) Y,gm_id (L_var=3.45e-06) X,gm_id (L_var=3.45e-06) Y,gm_id (L_var=3.55e-06) X,gm_id (L_var=3.55e-06) Y
0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan
0.04081633,31.14078869932278,0.04081633,31.14088231783739,0.04081633,31.13957137751718,0.04081633,31.13804606619112,0.04081633,31.13660670844878,0.04081633,31.13531807240607,0.04081633,31.13417866278898,0.04081633,31.13317102468569,0.04081633,31.13227622792953,0.04081633,31.13147750997166,0.04081633,31.13076080271361,0.04081633,31.13011445885397,0.04081633,31.12952883925532,0.04081633,31.1289959334102,0.04081633,31.1285090462744,0.04081633,31.12806254802828,0.04081633,31.12765167581386,0.04081633,31.12727237648888,0.04081633,31.12692118149129,0.04081633,31.12659510669556,0.04081633,31.12629157177567,0.04081633,31.12600833493231,0.04081633,31.12574343969188,0.04081633,31.12549517133974,0.04081633,31.12526202099322,0.04081633,31.12504265584855,0.04081633,31.12483589440819,0.04081633,31.12464068572497,0.04081633,31.12445609196628,0.04081633,31.12428127366997,0.04081633,31.1241154772413,0.04081633,31.12395802430453,0.04081633,31.12380830256413
0.08163265,31.12997099332,0.08163265,31.13019885305315,0.08163265,31.12774307121223,0.08163265,31.12487420753785,0.08163265,31.12216508960389,0.08163265,31.11973945853218,0.08163265,31.11759489202586,0.08163265,31.11569857547396,0.08163265,31.1140148398342,0.08163265,31.11251208662873,0.08163265,31.11116379503697,0.08163265,31.10994800929006,0.08163265,31.10884656111728,0.08163265,31.10784435398255,0.08163265,31.10692877225767,0.08163265,31.10608920910934,0.08163265,31.1053166923587,0.08163265,31.10460358785373,0.08163265,31.10394336338234,0.08163265,31.10333039973985,0.08163265,31.10275983868238,0.08163265,31.10222745979774,0.08163265,31.10172958023443,0.08163265,31.10126297252256,0.08163265,31.10082479688276,0.08163265,31.10041254514464,0.08163265,31.10002399404434,0.08163265,31.09965716613736,0.08163265,31.09931029693929,0.08163265,31.09898180715179,0.08163265,31.09867027911305,0.08163265,31.0983744367334,0.08163265,31.09809312831271
0.122449,31.11005036565233,0.122449,31.11019424117504,0.122449,31.10550341627995,0.122449,31.10009263911939,0.122449,31.09499815286286,0.122449,31.09044150505884,0.122449,31.0864149468518,0.122449,31.08285575664354,0.122449,31.07969647487843,0.122449,31.07687750029374,0.122449,31.07434886037491,0.122449,31.07206920732137,0.122449,31.07000433988618,0.122449,31.0681258491705,0.122449,31.06641000252687,0.122449,31.06483685231856,0.122449,31.06338952991352,0.122449,31.06205368616489,0.122449,31.060817046197,0.122449,31.05966905327647,0.122449,31.05860058227472,0.122449,31.05760370771505,0.122449,31.05667151490781,0.122449,31.05579794525546,0.122449,31.05497766881506,0.122449,31.05420597878023,0.122449,31.05347870360992,0.122449,31.05279213351362,0.122449,31.05214295865253,0.122449,31.05152821693583,0.122449,31.05094524973925,0.122449,31.05039166419506,0.122449,31.04986530093259
0.1632653,31.07306664958833,0.1632653,31.07272573062843,0.1632653,31.06377919015366,0.1632653,31.05360897930736,0.1632653,31.0440687745534,0.1632653,31.03554870230705,0.1632653,31.02802646774371,0.1632653,31.02138174230787,0.1632653,31.01548689591356,0.1632653,31.0102296089977,0.1632653,31.0055158723336,0.1632653,31.00126798578783,0.1632653,30.99742173261315,0.1632653,30.99392381038844,0.1632653,30.99072971969629,0.1632653,30.98780208063273,0.1632653,30.98510930067132,0.1632653,30.98262451979109,0.1632653,30.98032477178395,0.1632653,30.97819031385983,0.1632653,30.97620408760568,0.1632653,30.97435128293027,0.1632653,30.97261898319702,0.1632653,30.9709958747322,0.1632653,30.96947200766549,0.1632653,30.96803859795751,0.1632653,30.966687862655,0.1632653,30.96541288210438,0.1632653,30.9642074841633,0.1632653,30.96306614644049,0.1632653,30.96198391340328,0.1632653,30.96095632579032,0.1632653,30.95997936026749
0.2040816,31.00432300767325,0.2040816,31.00277276522484,0.2040816,30.98588452500674,0.2040816,30.96692414550452,0.2040816,30.94920783976836,0.2040816,30.93341875296995,0.2040816,30.91949934171731,0.2040816,30.90721852119512,0.2040816,30.89633504078364,0.2040816,30.8866377137469,0.2040816,30.87795027842969,0.2040816,30.87012733881195,0.2040816,30.86304892259872,0.2040816,30.85661558802953,0.2040816,30.85074442151822,0.2040816,30.84536585546847,0.2040816,30.84042115557537,0.2040816,30.83586043466019,0.2040816,30.83164107604539,0.2040816,30.8277264751149,0.2040816,30.82408502878329,0.2040816,30.82068931904325,0.2040816,30.81751544928306,0.2040816,30.81454250156651,0.2040816,30.81175209026821,0.2040816,30.80912799291645,0.2040816,30.8066558432571,0.2040816,30.8043228747603,0.2040816,30.8021177052261,0.2040816,30.80003015507143,0.2040816,30.79805109334272,0.2040816,30.79617230668157,0.2040816,30.79438638736114
0.244898,30.8772450002046,0.244898,30.87321661781187,0.244898,30.84186801552766,0.244898,30.80704122327172,0.244898,30.77465112927552,0.244898,30.7458769957403,0.244898,30.72057575577084,0.244898,30.69830254487158,0.244898,30.6786022770458,0.244898,30.66107974590216,0.244898,30.64540668298045,0.244898,30.63131327649807,0.244898,30.61857756244181,0.244898,30.60701604712919,0.244898,30.59647609914587,0.244898,30.5868299320773,0.244898,30.57796987239199,0.244898,30.56980463167589,0.244898,30.56225635644564,0.244898,30.55525827975536,0.244898,30.54875284012968,0.244898,30.54269016524703,0.244898,30.53702684195694,0.244898,30.53172491245158,0.244898,30.52675105016134,0.244898,30.52207587935539,0.244898,30.51767341032462,0.244898,30.51352056808254,0.244898,30.509596797143,0.244898,30.50588372852642,0.244898,30.50236489793374,0.244898,30.49902550619369,0.244898,30.49585221481045
0.2857143,30.64568330044725,0.2857143,30.63709340768342,0.2857143,30.58044268219884,0.2857143,30.51815835449403,0.2857143,30.46062214087661,0.2857143,30.40978812373664,0.2857143,30.36529808230006,0.2857143,30.32629237063945,0.2857143,30.29191715414941,0.2857143,30.2614405208287,0.2857143,30.23425959225318,0.2857143,30.20988204342149,0.2857143,30.18790506609098,0.2857143,30.16799726775166,0.2857143,30.14988418658677,0.2857143,30.13333694075319,0.2857143,30.1181633664652,0.2857143,30.10420107984128,0.2857143,30.0913120158328,0.2857143,30.07937810246407,0.2857143,30.0682978114274,0.2857143,30.0579833889896,0.2857143,30.04835861834967,0.2857143,30.03935699986449,0.2857143,30.03092026197677,0.2857143,30.02299713554997,0.2857143,30.01554233931682,0.2857143,30.00851573555827,0.2857143,30.0018816238454,0.2857143,29.99560814738162,0.2857143,29.98966679167329,0.2857143,29.98403195929152,0.2857143,29.97868060765538
0.3265306,30.23568834392072,0.3265306,30.21956321133128,0.3265306,30.1217511485543,0.3265306,30.01561856755869,0.3265306,29.91866026775878,0.3265306,29.83381786834459,0.3265306,29.76018329360574,0.3265306,29.69609832109218,0.3265306,29.63998694425035,0.3265306,29.59052655146062,0.3265306,29.54664308396298,0.3265306,29.5074691878683,0.3265306,29.4723019290165,0.3265306,29.44056783591655,0.3265306,29.41179553131485,0.3265306,29.38559461033857,0.3265306,29.36163934922037,0.3265306,29.33965608274663,0.3265306,29.31941336049448,0.3265306,29.30071421458338,0.3265306,29.28339004099411,0.3265306,29.26729572219225,0.3265306,29.25230571145289,0.3265306,29.23831086761288,0.3265306,29.22521587955522,0.3265306,29.21293715735743,0.3265306,29.20140109519743,0.3265306,29.1905426323273,0.3265306,29.18030405451525,0.3265306,29.17063399063494,0.3265306,29.16148656852334,0.3265306,29.15282070152689,0.3265306,29.14459948283701
0.3673469,29.54739705361456,0.3673469,29.52082202898938,0.3673469,29.36485352114233,0.3673469,29.19891819687216,0.3673469,29.05013461823309,0.3673469,28.92206544959349,0.3673469,28.81248369428194,0.3673469,28.71828574284364,0.3673469,28.63669922706015,0.3673469,28.56547205699114,0.3673469,28.50281613864153,0.3673469,28.44731313238124,0.3673469,28.39783099341466,0.3673469,28.35345855999483,0.3673469,28.3134559295465,0.3673469,28.27721702433363,0.3673469,28.2442412488981,0.3673469,28.21411188002752,0.3673469,28.18647945452619,0.3673469,28.16104888985733,0.3673469,28.13756941403351,0.3673469,28.11582662682192,0.3673469,28.09563619125902,0.3673469,28.07683878241609,0.3673469,28.0592960134508,0.3673469,28.0428871271815,0.3673469,28.02750629174931,0.3673469,28.01306037636442,0.3673469,27.99946711117053,0.3673469,27.98665355643061,0.3673469,27.97455482233163,0.3673469,27.96311299303396,0.3673469,27.95227621809799
