Vstar (L_var=3.5e-07) X,Vstar (L_var=3.5e-07) Y,Vstar (L_var=4.5e-07) X,Vstar (L_var=4.5e-07) Y,Vstar (L_var=5.5e-07) X,Vstar (L_var=5.5e-07) Y,Vstar (L_var=6.5e-07) X,Vstar (L_var=6.5e-07) Y,Vstar (L_var=7.5e-07) X,Vstar (L_var=7.5e-07) Y,Vstar (L_var=8.5e-07) X,Vstar (L_var=8.5e-07) Y,Vstar (L_var=9.5e-07) X,Vstar (L_var=9.5e-07) Y,Vstar (L_var=1.05e-06) X,Vstar (L_var=1.05e-06) Y,Vstar (L_var=1.15e-06) X,Vstar (L_var=1.15e-06) Y,Vstar (L_var=1.25e-06) X,Vstar (L_var=1.25e-06) Y,Vstar (L_var=1.35e-06) X,Vstar (L_var=1.35e-06) Y,Vstar (L_var=1.45e-06) X,Vstar (L_var=1.45e-06) Y,Vstar (L_var=1.55e-06) X,Vstar (L_var=1.55e-06) Y,Vstar (L_var=1.65e-06) X,Vstar (L_var=1.65e-06) Y,Vstar (L_var=1.75e-06) X,Vstar (L_var=1.75e-06) Y,Vstar (L_var=1.85e-06) X,Vstar (L_var=1.85e-06) Y,Vstar (L_var=1.95e-06) X,Vstar (L_var=1.95e-06) Y,Vstar (L_var=2.05e-06) X,Vstar (L_var=2.05e-06) Y,Vstar (L_var=2.15e-06) X,Vstar (L_var=2.15e-06) Y,Vstar (L_var=2.25e-06) X,Vstar (L_var=2.25e-06) Y,Vstar (L_var=2.35e-06) X,Vstar (L_var=2.35e-06) Y,Vstar (L_var=2.45e-06) X,Vstar (L_var=2.45e-06) Y,Vstar (L_var=2.55e-06) X,Vstar (L_var=2.55e-06) Y,Vstar (L_var=2.65e-06) X,Vstar (L_var=2.65e-06) Y,Vstar (L_var=2.75e-06) X,Vstar (L_var=2.75e-06) Y,Vstar (L_var=2.85e-06) X,Vstar (L_var=2.85e-06) Y,Vstar (L_var=2.95e-06) X,Vstar (L_var=2.95e-06) Y,Vstar (L_var=3.05e-06) X,Vstar (L_var=3.05e-06) Y,Vstar (L_var=3.15e-06) X,Vstar (L_var=3.15e-06) Y,Vstar (L_var=3.25e-06) X,Vstar (L_var=3.25e-06) Y,Vstar (L_var=3.35e-06) X,Vstar (L_var=3.35e-06) Y,Vstar (L_var=3.45e-06) X,Vstar (L_var=3.45e-06) Y,Vstar (L_var=3.55e-06) X,Vstar (L_var=3.55e-06) Y
0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan
0.04081633,0.06422444914002753,0.04081633,0.06422425606272585,0.04081633,0.06422695983041062,0.04081633,0.06423010601720279,0.04081633,0.06423307519432775,0.04081633,0.06423573368831315,0.04081633,0.06423808450711964,0.04081633,0.06424016359959565,0.04081633,0.0642420099756712,0.04081633,0.06424365818677844,0.04081633,0.06424513723499055,0.04081633,0.06424647113467852,0.04081633,0.06424767976179378,0.04081633,0.06424877963549847,0.04081633,0.06424978456330432,0.04081633,0.06425070615667612,0.04081633,0.06425155423960224,0.04081633,0.06425233717267961,0.04081633,0.06425306211104623,0.04081633,0.06425373521081928,0.04081633,0.06425436179533627,0.04081633,0.06425494648973111,0.04081633,0.06425549333062928,0.04081633,0.06425600585598373,0.04081633,0.06425648717916173,0.04081633,0.06425694005030351,0.04081633,0.06425736690741284,0.04081633,0.06425776991916508,0.04081633,0.06425815102086978,0.04081633,0.06425851194488236,0.04081633,0.06425885424639451,0.04081633,0.06425917932539976,0.04081633,0.06425948844554574
0.08163265,0.06424676722086146,0.08163265,0.06424629696202042,0.08163265,0.06425136558807096,0.08163265,0.06425728780987774,0.08163265,0.06426288126940384,0.08163265,0.06426789024583736,0.08163265,0.06427231946876834,0.08163265,0.06427623648393488,0.08163265,0.06427971479397344,0.08163265,0.06428281954318767,0.08163265,0.06428560542370489,0.08163265,0.06428811772371847,0.08163265,0.06429039392607327,0.08163265,0.06429246518150179,0.08163265,0.06429435752537792,0.08163265,0.06429609285034472,0.08163265,0.06429768967731866,0.08163265,0.06429916376690283,0.08163265,0.06430052860611028,0.08163265,0.06430179579794221,0.08163265,0.06430297537495717,0.08163265,0.06430407605323989,0.08163265,0.06430510543924949,0.08163265,0.0643060701993667,0.08163265,0.06430697619956563,0.08163265,0.06430782862114276,0.08163265,0.06430863205710068,0.08163265,0.06430939059282255,0.08163265,0.06431010787389824,0.08163265,0.06431078716345828,0.08163265,0.06431143139079068,0.08163265,0.06431204319276573,0.08163265,0.06431262494931354
0.122449,0.06428790620693239,0.122449,0.06428760889422397,0.122449,0.06429730370328111,0.122449,0.0643084901131224,0.122449,0.06431902617160515,0.122449,0.06432845283572355,0.122449,0.06433678516546164,0.122449,0.06434415214800612,0.122449,0.06435069279446119,0.122449,0.06435653002722348,0.122449,0.06436176696691272,0.122449,0.06436648897295674,0.122449,0.06437076667647891,0.122449,0.06437465876472877,0.122449,0.06437821427829366,0.122449,0.06438147444674983,0.122449,0.0643844741435584,0.122449,0.06438724303959351,0.122449,0.06438980652136048,0.122449,0.06439218642572822,0.122449,0.06439440163126373,0.122449,0.06439646853704872,0.122449,0.06439840145264636,0.122449,0.0644002129175866,0.122449,0.06440191396461283,0.122449,0.06440351433769158,0.122449,0.06440502267359513,0.122449,0.06440644665384233,0.122449,0.06440779313244498,0.122449,0.06440906824383538,0.122449,0.06441027749442814,0.122449,0.06441142584060371,0.122449,0.06441251775542903
0.1632653,0.0643644228152324,0.1632653,0.06436512899892129,0.1632653,0.06438366651260331,0.1632653,0.0644047524824797,0.1632653,0.06442454481480166,0.1632653,0.06444223104234431,0.1632653,0.06445785400109709,0.1632653,0.06447166076011182,0.1632653,0.06448391433324586,0.1632653,0.06449484654636981,0.1632653,0.06450465163150573,0.1632653,0.06451349025197539,0.1632653,0.06452149527958162,0.1632653,0.06452877706725363,0.1632653,0.06453542779048831,0.1632653,0.06454152491344306,0.1632653,0.06454713393432078,0.1632653,0.06455231056111593,0.1632653,0.06455710244269441,0.1632653,0.06456155055336425,0.1632653,0.06456569030678126,0.1632653,0.06456955245749359,0.1632653,0.06457316383496732,0.1632653,0.06457654794470807,0.1632653,0.06457972546335194,0.1632653,0.06458271464864132,0.1632653,0.06458553168070476,0.1632653,0.06458819094757963,0.1632653,0.06459070528522017,0.1632653,0.06459308618019149,0.1632653,0.06459534394158156,0.1632653,0.06459748784742836,0.1632653,0.06459952626992707
0.2040816,0.06450713339249563,0.2040816,0.06451035896516191,0.2040816,0.06454551905355251,0.2040816,0.06458503888221462,0.2040816,0.06462200940180732,0.2040816,0.06465499387480339,0.2040816,0.06468410040849377,0.2040816,0.06470980229516506,0.2040816,0.06473259683907391,0.2040816,0.06475292061686105,0.2040816,0.0647711386917134,0.2040816,0.06478755264107604,0.2040816,0.0648024116157736,0.2040816,0.0648159223520248,0.2040816,0.06482825738898576,0.2040816,0.06483956161750069,0.2040816,0.06484995746040378,0.2040816,0.06485954897343987,0.2040816,0.06486842510481537,0.2040816,0.06487666229990921,0.2040816,0.06488432659501217,0.2040816,0.06489147531052317,0.2040816,0.06489815842848967,0.2040816,0.06490441971995291,0.2040816,0.06491029767280561,0.2040816,0.06491582625966676,0.2040816,0.06492103557672443,0.2040816,0.06492595237789536,0.2040816,0.06493060052363432,0.2040816,0.06493500135975311,0.2040816,0.06493917403859097,0.2040816,0.06494313579243347,0.2040816,0.06494690216723573
0.244898,0.06477261815251807,0.244898,0.06478106977833104,0.244898,0.06484691520607894,0.244898,0.06492022344843668,0.244898,0.06498855150619162,0.244898,0.06504937231997288,0.244898,0.06510294650399907,0.244898,0.06515018206875146,0.244898,0.06519201826533116,0.244898,0.06522927491708114,0.244898,0.06526263530092882,0.244898,0.06529266250998463,0.244898,0.06531982081536324,0.244898,0.06534449476944655,0.244898,0.06536700479882493,0.244898,0.06538761958795024,0.244898,0.06540656584941387,0.244898,0.06542403604135683,0.244898,0.06544019448937696,0.244898,0.06545518226972792,0.244898,0.06546912112800707,0.244898,0.06548211664327126,0.244898,0.06549426079856802,0.244898,0.0655056340817597,0.244898,0.06551630721243849,0.244898,0.06552634256940451,0.244898,0.06553579537696239,0.244898,0.06554471469581981,0.244898,0.06555314425483608,0.244898,0.0655611231524421,0.244898,0.06556868645078343,0.244898,0.06557586568114589,0.244898,0.06558268927564813
0.2857143,0.06526204622008908,0.2857143,0.06528034410400119,0.2857143,0.06540127691363404,0.2857143,0.06553475399033981,0.2857143,0.06565854074648403,0.2857143,0.0657682977553823,0.2857143,0.06586465888065167,0.2857143,0.06594937407964549,0.2857143,0.06602421331810748,0.2857143,0.06609070703767114,0.2857143,0.06615012330291868,0.2857143,0.06620350245410905,0.2857143,0.06625169900400046,0.2857143,0.06629541836169275,0.2857143,0.06633524651778827,0.2857143,0.06637167347022702,0.2857143,0.06640511161536769,0.2857143,0.06643591021384929,0.2857143,0.06646436682281195,0.2857143,0.06649073638381379,0.2857143,0.06651523849281231,0.2857143,0.06653806325319252,0.2857143,0.06655937601791859,0.2857143,0.06657932125541244,0.2857143,0.06659802571992014,0.2857143,0.06661560106641776,0.2857143,0.0666321460192387,0.2857143,0.06664774818003148,0.2857143,0.066662485542587,0.2857143,0.06667642776812925,0.2857143,0.066689637263836,0.2857143,0.06670217009891612,0.2857143,0.06671407678593028
0.3265306,0.06614699745713333,0.3265306,0.0661822934373211,0.3265306,0.06639720214593137,0.3265306,0.06663197679895987,0.3265306,0.06684791304493197,0.3265306,0.06703801735419576,0.3265306,0.0672038871625404,0.3265306,0.06734891494413812,0.3265306,0.0674764129876908,0.3265306,0.06758919941900383,0.3265306,0.06768958471243521,0.3265306,0.06777944890042552,0.3265306,0.06786032542747979,0.3265306,0.06793347231435069,0.3265306,0.06799992873167476,0.3265306,0.06806055914541036,0.3265306,0.06811608766841915,0.3265306,0.06816712487560864,0.3265306,0.06821418885191056,0.3265306,0.06825772182046577,0.3265306,0.06829810336850275,0.3265306,0.06833566103900328,0.3265306,0.06837067886983547,0.3265306,0.06840340432303801,0.3265306,0.06843405394309231,0.3265306,0.06846281800514843,0.3265306,0.06848986435547874,0.3265306,0.06851534160194349,0.3265306,0.06853938177832411,0.3265306,0.06856210258035832,0.3265306,0.06858360925120954,0.3265306,0.0686039961784984,0.3265306,0.06862334825283091
0.3673469,0.06768785745732341,0.3673469,0.06774879093935814,0.3673469,0.06810863192489706,0.3673469,0.06849568831677619,0.3673469,0.06884649679883809,0.3673469,0.06915135447313327,0.3673469,0.06941435598614901,0.3673469,0.06964203984558458,0.3673469,0.06984045137821285,0.3673469,0.07001459650342164,0.3673469,0.07016850511443259,0.3673469,0.07030540953702316,0.3673469,0.07042791403553997,0.3673469,0.07053813190966021,0.3673469,0.07063779162023454,0.3673469,0.07072831807595928,0.3673469,0.07081089494935633,0.3673469,0.07088651269635673,0.3673469,0.07095600581217104,0.3673469,0.07102008195157579,0.3673469,0.07107934486347307,0.3673469,0.07113431259004994,0.3673469,0.07118543201460696,0.3673469,0.07123309057330757,0.3673469,0.07127762574803227,0.3673469,0.07131933281083007,0.3673469,0.07135847118117522,0.3673469,0.07139526967526436,0.3673469,0.07142993086472313,0.3673469,0.07146263471505515,0.3673469,0.07149354163818303,0.3673469,0.07152279506570783,0.3673469,0.07155052362802138
